"","control","treatment","sampled_numbers","repeat.","diff","label"
"1",3.66666666666667,3,6,100,0.666666666666667,"blocked"
"2",3.66666666666667,3.66666666666667,6,100,0,"blocked"
"3",2.66666666666667,2.66666666666667,6,100,0,"blocked"
"4",4.66666666666667,3.66666666666667,6,100,1,"blocked"
"5",3,2.66666666666667,6,100,0.333333333333333,"blocked"
"6",3.33333333333333,4,6,100,0.666666666666667,"blocked"
"7",2.33333333333333,2.33333333333333,6,100,0,"blocked"
"8",2,2,6,100,0,"blocked"
"9",2.66666666666667,2.66666666666667,6,100,0,"blocked"
"10",3,2.66666666666667,6,100,0.333333333333333,"blocked"
"11",2.33333333333333,3.33333333333333,6,100,1,"blocked"
"12",4,4.33333333333333,6,100,0.333333333333333,"blocked"
"13",3,2.33333333333333,6,100,0.666666666666667,"blocked"
"14",3,2.33333333333333,6,100,0.666666666666667,"blocked"
"15",3,3.66666666666667,6,100,0.666666666666667,"blocked"
"16",2.33333333333333,2.33333333333333,6,100,0,"blocked"
"17",3,2.33333333333333,6,100,0.666666666666667,"blocked"
"18",4.33333333333333,4,6,100,0.333333333333333,"blocked"
"19",3,2.66666666666667,6,100,0.333333333333333,"blocked"
"20",2.66666666666667,3.66666666666667,6,100,1,"blocked"
"21",2.66666666666667,3,6,100,0.333333333333333,"blocked"
"22",2,3.33333333333333,6,100,1.33333333333333,"blocked"
"23",3.66666666666667,4.33333333333333,6,100,0.666666666666667,"blocked"
"24",3,2,6,100,1,"blocked"
"25",3,2.33333333333333,6,100,0.666666666666667,"blocked"
"26",2,3,6,100,1,"blocked"
"27",2.33333333333333,2.66666666666667,6,100,0.333333333333333,"blocked"
"28",3,2.66666666666667,6,100,0.333333333333333,"blocked"
"29",2.33333333333333,4,6,100,1.66666666666667,"blocked"
"30",3,4,6,100,1,"blocked"
"31",3.33333333333333,3,6,100,0.333333333333333,"blocked"
"32",3,3.33333333333333,6,100,0.333333333333333,"blocked"
"33",4,4,6,100,0,"blocked"
"34",3,3,6,100,0,"blocked"
"35",2,2.66666666666667,6,100,0.666666666666667,"blocked"
"36",3,2.33333333333333,6,100,0.666666666666667,"blocked"
"37",3.33333333333333,4,6,100,0.666666666666667,"blocked"
"38",3,2.66666666666667,6,100,0.333333333333333,"blocked"
"39",2.66666666666667,4,6,100,1.33333333333333,"blocked"
"40",2.66666666666667,2.66666666666667,6,100,0,"blocked"
"41",3.33333333333333,2.66666666666667,6,100,0.666666666666667,"blocked"
"42",3.66666666666667,3,6,100,0.666666666666667,"blocked"
"43",3,2.33333333333333,6,100,0.666666666666667,"blocked"
"44",4.33333333333333,4.66666666666667,6,100,0.333333333333334,"blocked"
"45",2,2.66666666666667,6,100,0.666666666666667,"blocked"
"46",3.33333333333333,2,6,100,1.33333333333333,"blocked"
"47",3.33333333333333,2.66666666666667,6,100,0.666666666666667,"blocked"
"48",1.66666666666667,1.66666666666667,6,100,0,"blocked"
"49",2,2.66666666666667,6,100,0.666666666666667,"blocked"
"50",3.33333333333333,3.33333333333333,6,100,0,"blocked"
"51",3,3.66666666666667,6,100,0.666666666666667,"blocked"
"52",2.33333333333333,2,6,100,0.333333333333333,"blocked"
"53",2.66666666666667,3.66666666666667,6,100,1,"blocked"
"54",2.66666666666667,3.66666666666667,6,100,1,"blocked"
"55",2.33333333333333,2.66666666666667,6,100,0.333333333333333,"blocked"
"56",3.66666666666667,3,6,100,0.666666666666667,"blocked"
"57",4.33333333333333,2.66666666666667,6,100,1.66666666666667,"blocked"
"58",3.33333333333333,2.33333333333333,6,100,1,"blocked"
"59",3,2.33333333333333,6,100,0.666666666666667,"blocked"
"60",3.66666666666667,4,6,100,0.333333333333333,"blocked"
"61",2.66666666666667,2.33333333333333,6,100,0.333333333333333,"blocked"
"62",2,2.33333333333333,6,100,0.333333333333333,"blocked"
"63",4,3.33333333333333,6,100,0.666666666666667,"blocked"
"64",3,3.66666666666667,6,100,0.666666666666667,"blocked"
"65",2,2.66666666666667,6,100,0.666666666666667,"blocked"
"66",3.66666666666667,2.33333333333333,6,100,1.33333333333333,"blocked"
"67",2.33333333333333,2.66666666666667,6,100,0.333333333333333,"blocked"
"68",3,3,6,100,0,"blocked"
"69",2.33333333333333,3.66666666666667,6,100,1.33333333333333,"blocked"
"70",2.66666666666667,2,6,100,0.666666666666667,"blocked"
"71",4,3,6,100,1,"blocked"
"72",2.66666666666667,3.33333333333333,6,100,0.666666666666667,"blocked"
"73",2.33333333333333,3.33333333333333,6,100,1,"blocked"
"74",2,2,6,100,0,"blocked"
"75",3.33333333333333,3.33333333333333,6,100,0,"blocked"
"76",2,3,6,100,1,"blocked"
"77",3.33333333333333,3,6,100,0.333333333333333,"blocked"
"78",3,2,6,100,1,"blocked"
"79",3,3.66666666666667,6,100,0.666666666666667,"blocked"
"80",3,3,6,100,0,"blocked"
"81",3.66666666666667,2.66666666666667,6,100,1,"blocked"
"82",3,3.33333333333333,6,100,0.333333333333333,"blocked"
"83",2.33333333333333,3,6,100,0.666666666666667,"blocked"
"84",2.33333333333333,2.66666666666667,6,100,0.333333333333333,"blocked"
"85",3.33333333333333,2,6,100,1.33333333333333,"blocked"
"86",2,3.33333333333333,6,100,1.33333333333333,"blocked"
"87",3.33333333333333,2.33333333333333,6,100,1,"blocked"
"88",3.33333333333333,2,6,100,1.33333333333333,"blocked"
"89",3.33333333333333,4.66666666666667,6,100,1.33333333333333,"blocked"
"90",3.66666666666667,2,6,100,1.66666666666667,"blocked"
"91",4,3.33333333333333,6,100,0.666666666666667,"blocked"
"92",2.66666666666667,3,6,100,0.333333333333333,"blocked"
"93",3.33333333333333,3.66666666666667,6,100,0.333333333333333,"blocked"
"94",3,2.33333333333333,6,100,0.666666666666667,"blocked"
"95",3.66666666666667,4,6,100,0.333333333333333,"blocked"
"96",3.66666666666667,4,6,100,0.333333333333333,"blocked"
"97",3.66666666666667,3,6,100,0.666666666666667,"blocked"
"98",2.66666666666667,3.66666666666667,6,100,1,"blocked"
"99",3,3,6,100,0,"blocked"
"100",3,2.66666666666667,6,100,0.333333333333333,"blocked"
"101",3.57142857142857,3.42857142857143,14,100,0.142857142857143,"blocked"
"102",3.42857142857143,3.42857142857143,14,100,0,"blocked"
"103",3,2.57142857142857,14,100,0.428571428571428,"blocked"
"104",2.42857142857143,2.28571428571429,14,100,0.142857142857143,"blocked"
"105",3.14285714285714,3.42857142857143,14,100,0.285714285714286,"blocked"
"106",2.85714285714286,2.85714285714286,14,100,0,"blocked"
"107",2.71428571428571,2.85714285714286,14,100,0.142857142857143,"blocked"
"108",3.57142857142857,3.14285714285714,14,100,0.428571428571429,"blocked"
"109",3.14285714285714,2.85714285714286,14,100,0.285714285714286,"blocked"
"110",3.14285714285714,3.71428571428571,14,100,0.571428571428572,"blocked"
"111",2.71428571428571,2.28571428571429,14,100,0.428571428571429,"blocked"
"112",2.57142857142857,2.42857142857143,14,100,0.142857142857143,"blocked"
"113",3.28571428571429,3.42857142857143,14,100,0.142857142857143,"blocked"
"114",3.42857142857143,3.42857142857143,14,100,0,"blocked"
"115",2.71428571428571,2.85714285714286,14,100,0.142857142857143,"blocked"
"116",3,3.57142857142857,14,100,0.571428571428572,"blocked"
"117",2.71428571428571,2.85714285714286,14,100,0.142857142857143,"blocked"
"118",3,3.28571428571429,14,100,0.285714285714286,"blocked"
"119",3.57142857142857,3.42857142857143,14,100,0.142857142857143,"blocked"
"120",2.85714285714286,2.42857142857143,14,100,0.428571428571429,"blocked"
"121",2.28571428571429,1.85714285714286,14,100,0.428571428571428,"blocked"
"122",3.14285714285714,2.85714285714286,14,100,0.285714285714286,"blocked"
"123",3.14285714285714,3.14285714285714,14,100,0,"blocked"
"124",2.71428571428571,3,14,100,0.285714285714286,"blocked"
"125",3,3.28571428571429,14,100,0.285714285714286,"blocked"
"126",3,3,14,100,0,"blocked"
"127",2.85714285714286,3,14,100,0.142857142857143,"blocked"
"128",3.14285714285714,2.71428571428571,14,100,0.428571428571428,"blocked"
"129",3,2.57142857142857,14,100,0.428571428571428,"blocked"
"130",2.71428571428571,2.57142857142857,14,100,0.142857142857143,"blocked"
"131",3.14285714285714,3.42857142857143,14,100,0.285714285714286,"blocked"
"132",2.85714285714286,2.28571428571429,14,100,0.571428571428572,"blocked"
"133",2.57142857142857,3.14285714285714,14,100,0.571428571428571,"blocked"
