"","control","treatment1","treatment2","treatment3","treatment4","treatment5","treatment6","treatment7","treatment8","treatment9","variance","levels","groups","sampled_numbers","repeats","diff","label"
"1",4,3.66666666666667,2,3.33333333333333,3.66666666666667,NA,3.25,3.66666666666667,2.83333333333333,3.25,1.88505747126437,5,10,30,100,NA,"rand"
"2",2.33333333333333,2.33333333333333,5,3.33333333333333,2,NA,3.25,3.33333333333333,1.83333333333333,3,1.87241379310345,5,10,30,100,NA,"rand"
"3",2,3,4,3.66666666666667,3.66666666666667,NA,3.25,3.33333333333333,3.16666666666667,2.75,1.9816091954023,5,10,30,100,NA,"rand"
"4",3.66666666666667,2,1,3.33333333333333,3.33333333333333,NA,2.5,3.33333333333333,3,3.75,1.96436781609195,5,10,30,100,NA,"rand"
"5",3,2.66666666666667,4,1.66666666666667,2.33333333333333,NA,4,3,3.16666666666667,2.75,2.06436781609195,5,10,30,100,NA,"rand"
"6",3.33333333333333,1.66666666666667,5,3.66666666666667,2.66666666666667,NA,2.5,2.66666666666667,3,3,1.26551724137931,5,10,30,100,NA,"rand"
"7",3.66666666666667,3.66666666666667,5,2.66666666666667,3,NA,3,3.33333333333333,3.5,1.75,1.77471264367816,5,10,30,100,NA,"rand"
"8",3,2.33333333333333,3,1.33333333333333,3.33333333333333,NA,4.25,2.33333333333333,3.33333333333333,3.5,1.96436781609195,5,10,30,100,NA,"rand"
"9",3.33333333333333,3.33333333333333,3,2.33333333333333,4.33333333333333,NA,3.25,3.33333333333333,3,2.75,1.66091954022989,5,10,30,100,NA,"rand"
"10",1.66666666666667,3,5,2.33333333333333,2.33333333333333,NA,2,3.33333333333333,2.83333333333333,2.5,2.59310344827586,5,10,30,100,NA,"rand"
"11",2.33333333333333,3.66666666666667,4,3.33333333333333,2.66666666666667,NA,3.5,1.33333333333333,3.16666666666667,2.25,2.3264367816092,5,10,30,100,NA,"rand"
"12",2.33333333333333,3,4,2.33333333333333,2.33333333333333,NA,3,4.33333333333333,4.16666666666667,3.25,1.70229885057471,5,10,30,100,NA,"rand"
"13",3.33333333333333,3.33333333333333,1,3.33333333333333,2,NA,3.25,2.66666666666667,3,2,1.88965517241379,5,10,30,100,NA,"rand"
"14",2.66666666666667,2.33333333333333,5,3.33333333333333,1.33333333333333,NA,3,3,3,2.5,2.18505747126437,5,10,30,100,NA,"rand"
"15",4.33333333333333,2.66666666666667,3,2,2.33333333333333,NA,2.75,3.33333333333333,2.66666666666667,3.5,1.99540229885057,5,10,30,100,NA,"rand"
"16",2,3.33333333333333,3,2.66666666666667,3,NA,3,4.66666666666667,2.16666666666667,3,1.9551724137931,5,10,30,100,NA,"rand"
"17",3.66666666666667,3.33333333333333,2,2.66666666666667,2.33333333333333,NA,2.25,1.66666666666667,3,3.75,2.21264367816092,5,10,30,100,NA,"rand"
"18",2.66666666666667,3,3,4.33333333333333,3.33333333333333,NA,1.75,2.66666666666667,3.66666666666667,2.5,2.20689655172414,5,10,30,100,NA,"rand"
"19",4,2.66666666666667,5,3.33333333333333,3,NA,3,3.33333333333333,3.33333333333333,3.25,2.07931034482759,5,10,30,100,NA,"rand"
"20",2.66666666666667,4.33333333333333,3,3,2.66666666666667,NA,4.25,1.66666666666667,3.5,3.25,2.32298850574713,5,10,30,100,NA,"rand"
"21",4.33333333333333,1.66666666666667,2,2,4.66666666666667,NA,2.25,2.33333333333333,3,3.75,2.44712643678161,5,10,30,100,NA,"rand"
"22",3,2,4,3,3,NA,3.75,4.66666666666667,4,2.75,1.8264367816092,5,10,30,100,NA,"rand"
"23",3.33333333333333,2.66666666666667,5,3,2.33333333333333,NA,2.25,4.66666666666667,3.16666666666667,2.25,2.20689655172414,5,10,30,100,NA,"rand"
"24",4.33333333333333,2.33333333333333,1,4,2.33333333333333,NA,1.75,2.33333333333333,2,2.75,1.84022988505747,5,10,30,100,NA,"rand"
"25",2.66666666666667,2,3,3.66666666666667,4.66666666666667,NA,4.5,2.66666666666667,3.16666666666667,3.25,2.22988505747126,5,10,30,100,NA,"rand"
"26",2.66666666666667,3.33333333333333,2,3.33333333333333,4.33333333333333,NA,2.25,3,2,3.25,1.84367816091954,5,10,30,100,NA,"rand"
"27",2.33333333333333,4,2,2,2,NA,3,2,3,4.25,1.91264367816092,5,10,30,100,NA,"rand"
"28",3,4,1,2.66666666666667,1,NA,3,3.33333333333333,3,3.25,1.77471264367816,5,10,30,100,NA,"rand"
"29",3.66666666666667,3.66666666666667,5,3.33333333333333,1.66666666666667,NA,3,3.33333333333333,2,2.5,2.11954022988506,5,10,30,100,NA,"rand"
"30",3.33333333333333,3.66666666666667,1,2.66666666666667,3,NA,4,3.33333333333333,3.16666666666667,2,2.13333333333333,5,10,30,100,NA,"rand"
"31",3.33333333333333,2.66666666666667,5,3.66666666666667,4.33333333333333,NA,3,3,2.83333333333333,2.75,2.09655172413793,5,10,30,100,NA,"rand"
"32",3,2.66666666666667,5,2.66666666666667,3.33333333333333,NA,2.25,2,3.5,2.75,2.16206896551724,5,10,30,100,NA,"rand"
"33",3.66666666666667,3.33333333333333,3,3,1.66666666666667,NA,2.5,4,3.16666666666667,2.75,2,5,10,30,100,NA,"rand"
"34",3,3.66666666666667,1,3,2.33333333333333,NA,3,2.33333333333333,2.83333333333333,2.5,1.56436781609195,5,10,30,100,NA,"rand"
"35",2.33333333333333,4,3,3.66666666666667,3.66666666666667,NA,2.5,3,2,3,1.40344827586207,5,10,30,100,NA,"rand"
"36",3.66666666666667,2.33333333333333,4,4.33333333333333,2.33333333333333,NA,2,4.33333333333333,3.33333333333333,3,1.86781609195402,5,10,30,100,NA,"rand"
"37",2.33333333333333,3,2,3.66666666666667,3.33333333333333,NA,1.75,3.33333333333333,3.5,3.75,2.34022988505747,5,10,30,100,NA,"rand"
"38",2.33333333333333,2,1,3,3.66666666666667,NA,2.25,4,2.83333333333333,2.75,1.63333333333333,5,10,30,100,NA,"rand"
"39",3.33333333333333,2.33333333333333,5,1.33333333333333,3.66666666666667,NA,3.75,2.33333333333333,2,3.75,2.05057471264368,5,10,30,100,NA,"rand"
"40",3,3,3,4.33333333333333,2.33333333333333,NA,3.5,2.66666666666667,2.83333333333333,1.75,1.9551724137931,5,10,30,100,NA,"rand"
"41",3,3,5,4.33333333333333,2.66666666666667,NA,4,3,2.33333333333333,3.25,2.37241379310345,5,10,30,100,NA,"rand"
"42",2.66666666666667,3.66666666666667,1,2.66666666666667,3.33333333333333,NA,2.5,1.66666666666667,2.83333333333333,2,2.11034482758621,5,10,30,100,NA,"rand"
"43",3.33333333333333,3.66666666666667,2,2.33333333333333,3.66666666666667,NA,2.25,4,3,2.75,1.75747126436782,5,10,30,100,NA,"rand"
"44",4.33333333333333,2.33333333333333,5,2.33333333333333,2.33333333333333,NA,3.25,3.33333333333333,3,1.75,1.9551724137931,5,10,30,100,NA,"rand"
"45",2.33333333333333,3.66666666666667,5,3.33333333333333,3,NA,2.25,3.33333333333333,3.5,3,1.42988505747126,5,10,30,100,NA,"rand"
