"","method","variable","value","diff"
"1","true","Dem"," 0.3420"," 0.0000"
"2","hd.ord","Dem"," 0.3418","-0.0002"
"3","hot.deck","Dem"," 0.3415","-0.0005"
"4","amelia","Dem"," 0.3420"," 0.0000"
"5","mice","Dem"," 0.3420"," 0.0000"
"6","na.omit","Dem"," 0.3220","-0.0200"
"7","true","Male"," 0.4890"," 0.0000"
"8","hd.ord","Male"," 0.4888","-0.0002"
"9","hot.deck","Male"," 0.4889","-0.0001"
"10","amelia","Male"," 0.4890"," 0.0000"
"11","mice","Male"," 0.4890"," 0.0000"
"12","na.omit","Male"," 0.4636","-0.0254"
"13","true","Inc","16.6140"," 0.0000"
"14","hd.ord","Inc","16.5794","-0.0346"
"15","hot.deck","Inc","16.5483","-0.0657"
"16","amelia","Inc","16.6122","-0.0018"
"17","mice","Inc","16.6113","-0.0027"
"18","na.omit","Inc","15.9708","-0.6432"
"19","true","Age","50.0410"," 0.0000"
"20","hd.ord","Age","49.9523","-0.0887"
"21","hot.deck","Age","49.8459","-0.1951"
"22","amelia","Age","50.0420"," 0.0010"
"23","mice","Age","50.0394","-0.0016"
"24","na.omit","Age","49.2385","-0.8025"
"25","true","Black"," 0.0790"," 0.0000"
"26","hd.ord","Black"," 0.0791"," 0.0001"
"27","hot.deck","Black"," 0.0790"," 0.0000"
"28","amelia","Black"," 0.0790"," 0.0000"
"29","mice","Black"," 0.0791"," 0.0001"
"30","na.omit","Black"," 0.0687","-0.0103"
"31","true","Empl"," 0.6610"," 0.0000"
"32","hd.ord","Empl"," 0.6617"," 0.0007"
"33","hot.deck","Empl"," 0.6618"," 0.0008"
"34","amelia","Empl"," 0.6611"," 0.0001"
"35","mice","Empl"," 0.6611"," 0.0001"
"36","na.omit","Empl"," 0.6501","-0.0109"
"37","true","Religious"," 0.6460"," 0.0000"
"38","hd.ord","Religious"," 0.6459","-0.0001"
"39","hot.deck","Religious"," 0.6455","-0.0005"
"40","amelia","Religious"," 0.6460"," 0.0000"
"41","mice","Religious"," 0.6460"," 0.0000"
"42","na.omit","Religious"," 0.6286","-0.0174"
"43","true","Married"," 0.5290"," 0.0000"
"44","hd.ord","Married"," 0.5289","-0.0001"
"45","hot.deck","Married"," 0.5293"," 0.0003"
"46","amelia","Married"," 0.5289","-0.0001"
"47","mice","Married"," 0.5289","-0.0001"
"48","na.omit","Married"," 0.4900","-0.0390"
"49","true","OwnHome"," 0.6820"," 0.0000"
"50","hd.ord","OwnHome"," 0.6815","-0.0005"
"51","hot.deck","OwnHome"," 0.6819","-0.0001"
"52","amelia","OwnHome"," 0.6820"," 0.0000"
"53","mice","OwnHome"," 0.6819","-0.0001"
"54","na.omit","OwnHome"," 0.6479","-0.0341"
"55","true","Rally"," 0.0830"," 0.0000"
"56","hd.ord","Rally"," 0.0830"," 0.0000"
"57","hot.deck","Rally"," 0.0828","-0.0002"
"58","amelia","Rally"," 0.0831"," 0.0001"
"59","mice","Rally"," 0.0832"," 0.0002"
"60","na.omit","Rally"," 0.0644","-0.0186"
"61","true","Donate"," 0.1390"," 0.0000"
"62","hd.ord","Donate"," 0.1387","-0.0003"
"63","hot.deck","Donate"," 0.1383","-0.0007"
"64","amelia","Donate"," 0.1389","-0.0001"
"65","mice","Donate"," 0.1390"," 0.0000"
"66","na.omit","Donate"," 0.1080","-0.0310"
