"","method","variable","value","diff"
"1","true","Dem"," 0.3420"," 0.0000"
"2","hd.ord","Dem"," 0.3410","-0.0010"
"3","hot.deck","Dem"," 0.3409","-0.0011"
"4","amelia","Dem"," 0.3424"," 0.0004"
"5","mice","Dem"," 0.3423"," 0.0003"
"6","na.omit","Dem"," 0.3130","-0.0290"
"7","true","Male"," 0.4890"," 0.0000"
"8","hd.ord","Male"," 0.4877","-0.0013"
"9","hot.deck","Male"," 0.4877","-0.0013"
"10","amelia","Male"," 0.4892"," 0.0002"
"11","mice","Male"," 0.4891"," 0.0001"
"12","na.omit","Male"," 0.4498","-0.0392"
"13","true","Interest"," 2.9340"," 0.0000"
"14","hd.ord","Interest"," 2.9210","-0.0130"
"15","hot.deck","Interest"," 2.9149","-0.0191"
"16","amelia","Interest"," 2.9343"," 0.0003"
"17","mice","Interest"," 2.9343"," 0.0003"
"18","na.omit","Interest"," 2.8635","-0.0705"
"19","true","Inc","16.6140"," 0.0000"
"20","hd.ord","Inc","16.5072","-0.1068"
"21","hot.deck","Inc","16.4862","-0.1278"
"22","amelia","Inc","16.6148"," 0.0008"
"23","mice","Inc","16.6143"," 0.0003"
"24","na.omit","Inc","16.0509","-0.5631"
"25","true","Age","50.0410"," 0.0000"
"26","hd.ord","Age","49.6522","-0.3888"
"27","hot.deck","Age","49.5813","-0.4597"
"28","amelia","Age","50.0417"," 0.0007"
"29","mice","Age","50.0427"," 0.0017"
"30","na.omit","Age","48.8535","-1.1875"
