"","method","variable","value","diff"
"1","true","Dem"," 0.3420"," 0.0000"
"2","hd.ord","Dem"," 0.3278","-0.0142"
"3","hot.deck","Dem"," 0.3265","-0.0155"
"4","amelia","Dem"," 0.3284","-0.0136"
"5","mice","Dem"," 0.3293","-0.0127"
"6","na.omit","Dem"," 0.3209","-0.0211"
"7","true","Male"," 0.4890"," 0.0000"
"8","hd.ord","Male"," 0.4710","-0.0180"
"9","hot.deck","Male"," 0.4718","-0.0172"
"10","amelia","Male"," 0.4720","-0.0170"
"11","mice","Male"," 0.4720","-0.0170"
"12","na.omit","Male"," 0.4657","-0.0233"
"13","true","Inc","16.6140"," 0.0000"
"14","hd.ord","Inc","16.3659","-0.2481"
"15","hot.deck","Inc","16.2966","-0.3174"
"16","amelia","Inc","16.4585","-0.1555"
"17","mice","Inc","16.4572","-0.1568"
"18","na.omit","Inc","16.3026","-0.3114"
"19","true","Age","50.0410"," 0.0000"
"20","hd.ord","Age","49.4390","-0.6020"
"21","hot.deck","Age","49.1413","-0.8997"
"22","amelia","Age","49.7307","-0.3103"
"23","mice","Age","49.7416","-0.2994"
"24","na.omit","Age","49.3684","-0.6726"
