"","method","variable","value","diff"
"1","true","Dem"," 0.3549"," 0.0000"
"2","hd.ord","Dem"," 0.3527","-0.0022"
"3","hd.norm.orig","Dem"," 0.3527","-0.0022"
"4","amelia","Dem"," 0.3526","-0.0023"
"5","mice","Dem"," 0.3526","-0.0023"
"6","na.omit","Dem"," 0.3395","-0.0154"
"7","true","inc","15.5740"," 0.0000"
"8","hd.ord","inc","15.3948","-0.1792"
"9","hd.norm.orig","inc","15.3922","-0.1818"
"10","amelia","inc","15.4136","-0.1604"
"11","mice","inc","15.4137","-0.1603"
"12","na.omit","inc","15.3494","-0.2246"
"13","true","age","49.0400"," 0.0000"
"14","hd.ord","age","48.7292","-0.3108"
"15","hd.norm.orig","age","48.7378","-0.3022"
"16","amelia","age","48.7809","-0.2591"
"17","mice","age","48.7818","-0.2582"
"18","na.omit","age","48.5130","-0.5270"
"19","true","Male"," 0.4682"," 0.0000"
"20","hd.ord","Male"," 0.4539","-0.0143"
"21","hd.norm.orig","Male"," 0.4539","-0.0143"
"22","amelia","Male"," 0.4541","-0.0141"
"23","mice","Male"," 0.4541","-0.0141"
"24","na.omit","Male"," 0.4521","-0.0161"
"25","true","interest"," 2.2197"," 0.0000"
"26","hd.ord","interest"," 2.1956","-0.0241"
"27","hd.norm.orig","interest"," 2.1954","-0.0243"
"28","amelia","interest"," 2.1965","-0.0232"
"29","mice","interest"," 2.1965","-0.0232"
"30","na.omit","interest"," 2.2038","-0.0159"
