"","method","variable","value","diff"
"1","true","Dem"," 0.3549"," 0.0000"
"2","hd.ord","Dem"," 0.3552"," 0.0003"
"3","hd.norm.orig","Dem"," 0.3552"," 0.0003"
"4","amelia","Dem"," 0.3549"," 0.0000"
"5","mice","Dem"," 0.3549"," 0.0000"
"6","na.omit","Dem"," 0.3390","-0.0159"
"7","true","inc","15.5740"," 0.0000"
"8","hd.ord","inc","15.5745"," 0.0005"
"9","hd.norm.orig","inc","15.5765"," 0.0025"
"10","amelia","inc","15.5748"," 0.0008"
"11","mice","inc","15.5744"," 0.0004"
"12","na.omit","inc","15.2314","-0.3426"
"13","true","age","49.0400"," 0.0000"
"14","hd.ord","age","49.0067","-0.0333"
"15","hd.norm.orig","age","49.0151","-0.0249"
"16","amelia","age","49.0376","-0.0024"
"17","mice","age","49.0384","-0.0016"
"18","na.omit","age","48.3655","-0.6745"
"19","true","Male"," 0.4682"," 0.0000"
"20","hd.ord","Male"," 0.4683"," 0.0001"
"21","hd.norm.orig","Male"," 0.4682"," 0.0000"
"22","amelia","Male"," 0.4681","-0.0001"
"23","mice","Male"," 0.4681","-0.0001"
"24","na.omit","Male"," 0.4467","-0.0215"
"25","true","interest"," 2.2197"," 0.0000"
"26","hd.ord","interest"," 2.2210"," 0.0013"
"27","hd.norm.orig","interest"," 2.2211"," 0.0014"
"28","amelia","interest"," 2.2196","-0.0001"
"29","mice","interest"," 2.2195","-0.0002"
"30","na.omit","interest"," 2.2008","-0.0189"
