"","method","variable","value","diff"
"1","true","Dem"," 0.3840"," 0.0000"
"2","hd.ord","Dem"," 0.3844"," 0.0004"
"3","hd.norm.orig","Dem"," 0.3840"," 0.0000"
"4","amelia","Dem"," 0.3841"," 0.0001"
"5","mice","Dem"," 0.3841"," 0.0001"
"6","na.omit","Dem"," 0.3555","-0.0285"
"7","true","inc","16.0450"," 0.0000"
"8","hd.ord","inc","16.0514"," 0.0064"
"9","hd.norm.orig","inc","16.0161","-0.0289"
"10","amelia","inc","16.0483"," 0.0033"
"11","mice","inc","16.0466"," 0.0016"
"12","na.omit","inc","15.5785","-0.4665"
"13","true","Unempl"," 0.0530"," 0.0000"
"14","hd.ord","Unempl"," 0.0535"," 0.0005"
"15","hd.norm.orig","Unempl"," 0.0531"," 0.0001"
"16","amelia","Unempl"," 0.0530"," 0.0000"
"17","mice","Unempl"," 0.0532"," 0.0002"
"18","na.omit","Unempl"," 0.0365","-0.0165"
"19","true","Male"," 0.4810"," 0.0000"
"20","hd.ord","Male"," 0.4817"," 0.0007"
"21","hd.norm.orig","Male"," 0.4810"," 0.0000"
"22","amelia","Male"," 0.4812"," 0.0002"
"23","mice","Male"," 0.4812"," 0.0002"
"24","na.omit","Male"," 0.4439","-0.0371"
"25","true","interest"," 2.8040"," 0.0000"
"26","hd.ord","interest"," 2.8034","-0.0006"
"27","hd.norm.orig","interest"," 2.8004","-0.0036"
"28","amelia","interest"," 2.8041"," 0.0001"
"29","mice","interest"," 2.8042"," 0.0002"
"30","na.omit","interest"," 2.7395","-0.0645"
