RID,age
5fe38da5-7cf5-81f1-8e2c-d20abbc8dcce,26
5fe38cef-d9d8-474b-3d3f-c365268cec0f,65
5fe38d9d-a6a1-0c69-51e7-f8439ec7c48b,69
5fe38e9f-b282-6cf5-4fbf-87b383e67aca,18
5fe38c83-c1ff-c655-8e67-2d56878d06c6,67
5fe38d0d-2d48-43d3-0d5e-9a3f854915d0,25
5fe38e4c-86fa-3453-fced-46222b7e76b8,76
5fe390f3-7308-2816-5514-e36c6266ae32,79
5fe3911b-d73d-77ca-2483-21f21cd4a776,18
5fe392db-a679-b1d8-f396-3dffca2e3ec2,30
5fe3946f-4b47-7071-c5c0-51ff87a74ae0,30
5fe39268-fff1-34d2-0270-5edd0d4b71c7,63
5fe394b2-460f-df8a-d12e-0ebdb91fe6b1,56
5fe39216-1b3d-5bfc-3056-bce1bc61798c,60
5fe396c6-3184-7497-4022-aaa0305fc75c,30
5fe38aac-c92f-7c4a-6fde-ab225ba02e4f,30
5fe38a23-831a-87e2-b752-d0b0f1dcb254,66
5fe38aac-0175-9969-c7e8-ed18f17c4969,41
5fe38a4c-b182-a292-5770-2b7b1156de9b,52
5fe38ad0-dd4d-3f03-89c9-16e08a1fa2fb,67
5fe38a74-9a78-4890-68c3-df85a3aa13d9,86
5fe38ce1-c183-586c-ce6f-27cb777675cc,65
5fe38fd6-605d-0439-c417-963d6fd0af14,36
5fe38fb9-6b2f-515a-c390-8e735a960b96,48
5fe39104-1acd-933b-d911-c942ab231e41,59
5fe39205-292b-2349-ef15-62de64d6b5f5,28
5fe392ee-d71a-efc1-aee0-b1c2df36faa7,21
5fe392fa-11db-8939-2bca-f350c47b28f3,18
5fe39376-aac9-5af8-cc34-203528b87feb,51
5fe397a9-19b3-fcc2-7eb0-8801973aec90,19
5fe39458-51a1-61da-ca30-cc96d75d4b68,18
5fe0f1d6-070a-5895-42b1-82db49d5f989,24
5fe0f0e9-099e-be8a-fee7-d205aa38f3e4,71
5fe0f09c-c7cd-d7a0-31f6-540491186533,80
5fe0f450-ffb9-a5d0-d079-8cd2aaed0310,32
5fe0f0a3-162a-64d7-d9f4-42d651e44a7e,73
5fe0f3b2-4037-c594-17e7-ce169e438174,66
5fe0f15c-0cb7-e004-38d9-e7e8de9a6408,82
5fe0f1ad-9385-1dac-72a1-c0fe296fc0c1,65
5fe0f0a6-2fc9-1315-bc43-9b5d14d88d64,79
5fe0d28e-8ce4-ae79-6714-c9712dd31f53,18
5fe0d2c6-e651-a151-8242-b16dbcc6e414,29
5fe0d453-e143-0e31-8650-98bfa27c6114,39
5fe0d46f-16ac-9523-cd7d-049f0187bd0b,61
5fe0d513-7560-1f00-ad34-04ca1dab0ede,18
5fe0d5fe-9139-8a00-c630-7d120304fded,30
5fe0d5b8-74af-e4eb-518f-43140b229261,31
5fe0d6d8-d30f-8db0-00e6-fb623308af61,68
5fe0d94c-836c-b30d-751c-0eaf300637dd,27
5fe0d901-334d-52e6-a6c0-ae0ad7e807a7,18
5fe0d86e-a2dd-3898-cc5e-e2cef60605ba,74
5fe0d91e-5267-27db-9d27-acb9ee44fbd1,63
5fe0d5ab-850e-b429-1c79-8db5c5f47a35,66
5fe0dbad-778c-ae76-70ec-7784f2695864,25
5fe0daab-ac5f-de09-f0a1-22176fc73843,63
5fe0db73-7456-451f-512c-e77e6ce66279,34
5fe0dd57-9283-96a7-c27b-9d6326d66718,19
5fe0d2d5-9549-ef74-64db-b9df922eb93e,21
5fe0d3f7-e234-625b-b2b2-0a14bcaa045b,71
5fe0d557-cb45-29b3-7e80-b43f709df57e,73
5fe0d4f4-c369-69b2-513c-f63b56e7ec4c,50
5fe0d588-b02a-c26d-94b4-99b76d43a643,68
5fe0d25b-3be9-04bb-87e5-9d11afa64c08,63
5fe0d45b-2ce8-cf97-4e36-2d6af74f67cb,35
5fe0d726-ce7b-2922-96ee-92f55c458ae0,19
5fe0d75d-ece2-4040-5823-a9c404609767,72
5fe0d919-3659-c02a-bdc1-006bae045c2b,18
5fe0d76d-de49-5610-b114-c60b8fde3a27,55
5fe0dccc-1ea9-15a5-8be7-1ea21ee41fed,23
5fe0dded-59f2-093e-119a-b61efdde0c90,18
5fe0ddb0-b825-1a11-9587-f43e76851973,18
5fd92b15-5238-f58c-66de-7d0d6ba8f8b8,18
