"birthyear","race","gender","att","empl","inc","pid","pid.follow","ideol","ideol.follow","educ","mor.suffer","mor.care","mor.cruel","mor.comp","mor.anim","mor.kill","si.white","si.care","si.kids","si.kill","si.good","si.help","hc.group","hc.likert","hc.slider","hc.check","ev.group","ev.likert","ev.slider","ev.check","online.length","study.choice","RID","online.why","com"
57,1,2,2,4,7,1,2,1,2,12,3,3,5,5,4,6,3,3,2,5,3,2,"m.opp",4,9,3,"si.supp",5,9.5,5,5,3,"5fe38a0f-63ac-0237-7d79-ebe6991037dd","To pass time while being treated for cancer","Interesting survey"
57,1,2,2,4,7,1,2,1,2,12,3,3,5,5,4,6,3,3,2,5,3,2,"m.opp",4,9,3,"si.supp",5,9.5,5,5,3,"5fe38a0f-63ac-0237-7d79-ebe6991037dd","To pass time while being treated for cancer","Interesting survey"
17,1,2,2,5,4,3,2,3,1,10,3,4,3,5,4,2,4,4,4,6,4,3,"m.opp",4,7.2,3,"m.supp",3,5.3,5,5,2,"5fe38a82-1448-3d9d-ff91-86f1cbb91cb9","Make money","No"
1,1,1,2,2,4,2,1,1,1,12,5,2,3,3,5,2,3,3,1,5,2,4,"si.opp",1,7.1,4,"m.opp",1,8.9,6,4,3,"5fe38aac-c92f-7c4a-6fde-ab225ba02e4f",NA,"no thing"
1,4,2,2,4,3,3,2,3,1,15,4,4,4,5,6,6,4,4,3,3,4,4,"m.supp",4,7.3,3,"control",4,7.3,5,5,1,"5fe38a23-831a-87e2-b752-d0b0f1dcb254","To get reward points ",NA
41,1,1,2,2,3,2,1,2,1,12,5,5,6,5,5,6,1,5,2,6,1,4,"si.supp",1,2.5,3,"m.opp",2,2.5,5,5,1,"5fe38a71-0950-0389-481d-2a26eb99c797","Mostly to make extra money and voice opinions","The platform is clearly tailored to big government supporters."
58,1,1,2,1,7,1,1,2,2,15,5,5,5,6,6,6,2,6,1,6,2,2,"m.opp",5,9.9,3,"si.supp",5,9.1,5,5,3,"5fe38a80-7b74-7af5-3f3c-77b4d4af5133","It fun to share what I think","It was great"
1,1,1,2,2,3,3,3,2,1,12,2,1,1,1,4,6,3,5,3,6,4,3,"m.opp",1,1,3,"si.supp",5,5.9,5,4,1,"5fe38aac-0175-9969-c7e8-ed18f17c4969","Covid-19","No comment"
41,1,1,2,1,7,3,3,3,3,12,3,3,3,3,3,3,3,4,3,4,3,3,"m.supp",5,9.1,3,"si.opp",2,5.5,5,4,4,"5fe38af1-bafc-b98a-8f7b-bd45aa6e5a07","boredom",NA
26,1,1,2,1,6,1,1,1,1,14,5,6,6,6,6,6,6,6,6,6,6,6,"si.opp",5,6.3,3,"m.opp",5,7.4,1,4,3,"5fe38a9a-524d-b2d8-5867-4a13e4aee44f","I like it","good"
68,1,1,2,4,5,1,1,1,2,13,5,4,5,5,6,3,2,3,4,5,2,4,"si.supp",5,9.1,3,"m.opp",5,9.1,5,5,3,"5fe38ab3-4b3c-7491-9f57-8fc5b2b8ff8a","some thing to do to use brain","bice job"
23,1,1,2,2,7,1,1,1,1,15,4,3,2,5,5,5,4,4,3,4,4,3,"control",4,7.2,7,"m.supp",1,6.9,5,1,1,"5fe38adc-69ef-e92b-2fb4-7a8784a850e4"," for my self . i like survey","i like survey"
28,3,2,2,2,4,2,1,3,2,11,4,5,6,6,4,2,3,2,4,5,3,6,"si.supp",3,6,3,"si.opp",2,6.6,1,4,2,"5fe38bbc-812b-662a-1271-4047d6fbcc1c"," If you choose what surveys to answer, what is most important to you when you make that choice? Financial compensation Length of the survey Topic",NA
49,1,2,2,4,4,1,2,3,2,12,5,5,6,6,6,5,1,2,2,NA,NA,NA,"si.opp",2,4.6,3,"m.opp",4,5.4,5,4,6,"5fe38aa3-343e-0660-904f-1cbe47d9f089","for yhe fun of it","Very well done"
1,2,1,2,2,6,3,2,1,2,11,1,1,1,5,5,1,2,2,1,6,4,2,"m.opp",4,7.9,3,"si.supp",5,9.5,5,5,2,"5fe38a4c-b182-a292-5770-2b7b1156de9b","Points redeemable for gift cards ",NA
23,1,2,2,5,3,2,2,2,2,9,4,4,4,4,6,3,2,4,3,6,2,4,"m.opp",3,5.4,3,"si.opp",5,7.4,5,3,6,"5fe38a82-a1e2-387c-6d11-b9b97addb127","to earn  money for online supplies our family needs ",NA
1,1,2,2,2,3,1,1,1,2,8,6,6,6,6,6,6,1,1,1,3,1,3,"si.supp",4,8,3,"control",4,6.6,5,5,2,"5fe38ad0-dd4d-3f03-89c9-16e08a1fa2fb","2005",NA
8,4,1,2,2,3,1,2,2,2,11,4,5,5,4,5,6,2,5,2,2,3,2,"control",4,7.6,3,"si.supp",5,8,5,1,3,"5fe38bab-6aff-bde2-8904-013744634d83","For research",NA
32,1,2,2,6,4,3,3,3,3,11,1,5,5,5,5,6,1,3,3,4,2,3,"m.supp",3,7.3,3,"m.supp",4,7.3,5,5,6,"5fe38a72-c6fb-4c97-b900-298a37f30169","Interesting subjects and get reward ",NA
65,1,1,2,4,2,2,1,2,1,9,5,5,6,6,6,2,1,2,3,6,1,1,"m.supp",3,2.1,3,"m.supp",4,3.6,5,5,2,"5fe38a79-b0a9-7bbb-0667-834a6132e925","i like surveys","very good survey enjoyed it"
10,1,2,2,1,4,2,2,2,2,12,5,6,6,5,6,3,4,5,3,5,4,2,"si.supp",4,6.1,3,"m.opp",2,4.6,5,5,2,"5fe38a4e-8de8-96a4-93cb-c1756d7faa8b","I realized I have a lot of time where I'm sitting around in the evenings, and this is a quick and easy way to make side cash from the comfort of my home","This has been my favorite survey I've taken in awhile, I like feeling like my opinion is contributing to a greater purpose"
14,3,2,2,2,2,2,2,2,2,12,4,4,4,6,6,5,2,4,1,3,3,1,"si.opp",4,7,3,"si.opp",4,6.5,5,5,3,"5fe38ae5-5dbd-2c39-effe-b9d2fb450fe0","I didnt have a job and needed some cash and it sounded fun too.","No. Great topics."
1,1,2,2,2,5,2,1,2,1,10,6,6,6,6,6,3,3,3,4,NA,NA,NA,"control",1,1,3,"control",5,8,5,1,2,"5fe38bf5-6373-63de-fb4f-35c31cd20d80",NA,NA
22,1,1,2,2,6,1,1,1,2,15,4,5,5,6,3,5,1,3,2,5,3,1,"si.supp",3,4.5,3,"control",3,4.3,3,3,1,"5fe38c3a-19f3-756b-63f5-4a4dd7cf5c8d","Money!","How are you?"
27,1,1,2,2,7,1,1,1,1,13,5,6,5,5,6,6,6,5,5,5,5,6,"si.opp",5,9.6,1,"m.supp",5,10,1,2,1,"5fe38c74-90d4-e1f8-ce3b-d60b5e5f127d","yes","nice"
30,2,2,2,5,4,1,1,1,1,10,6,5,6,NA,NA,NA,1,1,1,6,1,1,"si.supp",5,10,3,"control",5,10,5,2,6,"5fe38c67-a09c-3d4f-712d-845f0c373fa5","For fun",NA
49,1,2,2,4,6,1,1,1,1,13,4,5,5,4,4,6,1,4,1,4,1,1,"m.supp",5,10,3,"m.opp",5,10,5,5,1,"5fe38c5e-c6a4-b98e-42e0-0102b5ef71f1","they're fun I love giving my opinions and it's a easy way to earn money",NA
55,1,2,2,4,6,1,1,1,2,12,4,1,6,5,6,2,3,4,3,5,2,2,"si.opp",3,6.4,3,"m.supp",4,9.7,5,5,2,"5fe38ab4-380b-8a17-dda2-61dd9f414fa3","benefits I would receive","Good thought provoking questions"
55,1,2,2,2,1,1,1,3,2,8,5,4,6,6,6,6,1,1,1,1,1,1,"m.opp",2,6.4,3,"si.opp",5,9.2,5,5,6,"5fe38c3b-7c7c-158d-d333-6a5fb0a9721e","1 year ago","no"
29,1,2,2,1,1,1,2,1,1,12,3,4,4,4,3,5,4,4,3,2,3,4,"m.opp",4,7.9,3,"si.supp",3,5.5,5,5,1,"5fe38a57-641d-7569-ecf4-46e20e4fa79e","to generate rewards",NA
1,1,2,2,4,5,1,1,1,2,13,5,5,6,5,5,6,1,2,2,5,2,2,"si.supp",2,4.6,3,"control",4,6.4,5,5,3,"5fe38a74-9a78-4890-68c3-df85a3aa13d9","interesting way to spend free time","all questions had too limited descriptions to be properly answered with the choices given"
44,1,2,2,4,4,1,1,1,2,12,6,6,6,6,6,6,2,2,1,5,1,2,"si.opp",4,8.1,3,"si.supp",4,7.8,5,5,3,"5fe38ace-5a82-8e10-9e12-3330a95a9749","interesting and gift cards",NA
1,2,2,2,4,2,1,1,1,2,10,6,5,6,1,6,6,1,1,1,6,1,1,"si.supp",3,5.5,3,"m.opp",5,9,5,5,3,"5fe38ce1-c183-586c-ce6f-27cb777675cc","I enjoyed doing this","No I'm loving the question"
49,1,1,2,4,4,3,2,3,1,10,5,3,4,6,6,1,1,3,1,6,4,1,"m.opp",5,9,3,"m.opp",4,8,5,5,1,"5fe38b71-43cc-824b-c57c-ffc794011515","I started about ten years ago when I was unemployed and have continued ever since I retired for extra money and enjoyment.  ",NA
