"","method","variable","value","diff"
"1","true","Democrat"," 0.3879"," 0.0000"
"2","hd.ord","Democrat"," 0.3885"," 0.0006"
"3","hot.deck","Democrat"," 0.3886"," 0.0007"
"4","amelia","Democrat"," 0.3880"," 0.0001"
"5","mice","Democrat"," 0.3880"," 0.0001"
"6","na.omit","Democrat"," 0.3566","-0.0313"
"7","true","Male"," 0.4576"," 0.0000"
"8","hd.ord","Male"," 0.4584"," 0.0008"
"9","hot.deck","Male"," 0.4581"," 0.0005"
"10","amelia","Male"," 0.4577"," 0.0001"
"11","mice","Male"," 0.4576"," 0.0000"
"12","na.omit","Male"," 0.4147","-0.0429"
"13","true","Employed"," 0.5612"," 0.0000"
"14","hd.ord","Employed"," 0.5624"," 0.0012"
"15","hot.deck","Employed"," 0.5625"," 0.0013"
"16","amelia","Employed"," 0.5614"," 0.0002"
"17","mice","Employed"," 0.5611","-0.0001"
"18","na.omit","Employed"," 0.5259","-0.0353"
"19","true","Income"," 3.5537"," 0.0000"
"20","hd.ord","Income"," 3.5490","-0.0047"
"21","hot.deck","Income"," 3.5424","-0.0113"
"22","amelia","Income"," 3.5533","-0.0004"
"23","mice","Income"," 3.5523","-0.0014"
"24","na.omit","Income"," 3.3613","-0.1924"
"25","true","Age","46.3475"," 0.0000"
"26","hd.ord","Age","46.1854","-0.1621"
"27","hot.deck","Age","46.0368","-0.3107"
"28","amelia","Age","46.3466","-0.0009"
"29","mice","Age","46.3402","-0.0073"
"30","na.omit","Age","45.5099","-0.8376"
