"","method","variable","value","diff"
"1","true","Democrat"," 0.3879"," 0.0000"
"2","hd.ord","Democrat"," 0.3864","-0.0015"
"3","hot.deck","Democrat"," 0.3860","-0.0019"
"4","amelia","Democrat"," 0.3864","-0.0015"
"5","mice","Democrat"," 0.3866","-0.0013"
"6","na.omit","Democrat"," 0.3795","-0.0084"
"7","true","Male"," 0.4576"," 0.0000"
"8","hd.ord","Male"," 0.4509","-0.0067"
"9","hot.deck","Male"," 0.4510","-0.0066"
"10","amelia","Male"," 0.4510","-0.0066"
"11","mice","Male"," 0.4509","-0.0067"
"12","na.omit","Male"," 0.4474","-0.0102"
"13","true","Employed"," 0.5612"," 0.0000"
"14","hd.ord","Employed"," 0.5599","-0.0013"
"15","hot.deck","Employed"," 0.5598","-0.0014"
"16","amelia","Employed"," 0.5597","-0.0015"
"17","mice","Employed"," 0.5597","-0.0015"
"18","na.omit","Employed"," 0.5526","-0.0086"
"19","true","Income"," 3.5537"," 0.0000"
"20","hd.ord","Income"," 3.5296","-0.0241"
"21","hot.deck","Income"," 3.5275","-0.0262"
"22","amelia","Income"," 3.5341","-0.0196"
"23","mice","Income"," 3.5341","-0.0196"
"24","na.omit","Income"," 3.5061","-0.0476"
"25","true","Age","46.3475"," 0.0000"
"26","hd.ord","Age","46.1278","-0.2197"
"27","hot.deck","Age","46.0375","-0.3100"
"28","amelia","Age","46.2279","-0.1196"
"29","mice","Age","46.2268","-0.1207"
"30","na.omit","Age","46.3201","-0.0274"
"31","true","Student"," 0.0386"," 0.0000"
"32","hd.ord","Student"," 0.0364","-0.0022"
"33","hot.deck","Student"," 0.0363","-0.0023"
"34","amelia","Student"," 0.0366","-0.0020"
"35","mice","Student"," 0.0371","-0.0015"
"36","na.omit","Student"," 0.0360","-0.0026"
"37","true","Conservative"," 0.3908"," 0.0000"
"38","hd.ord","Conservative"," 0.3865","-0.0043"
"39","hot.deck","Conservative"," 0.3863","-0.0045"
"40","amelia","Conservative"," 0.3866","-0.0042"
"41","mice","Conservative"," 0.3864","-0.0044"
"42","na.omit","Conservative"," 0.3849","-0.0059"
"43","true","Black"," 0.1158"," 0.0000"
"44","hd.ord","Black"," 0.1126","-0.0032"
"45","hot.deck","Black"," 0.1125","-0.0033"
"46","amelia","Black"," 0.1135","-0.0023"
"47","mice","Black"," 0.1135","-0.0023"
"48","na.omit","Black"," 0.1109","-0.0049"
"49","true","Hisp"," 0.0895"," 0.0000"
"50","hd.ord","Hisp"," 0.0868","-0.0027"
"51","hot.deck","Hisp"," 0.0861","-0.0034"
"52","amelia","Hisp"," 0.0872","-0.0023"
"53","mice","Hisp"," 0.0872","-0.0023"
"54","na.omit","Hisp"," 0.0845","-0.0050"
"55","true","Asian"," 0.0810"," 0.0000"
"56","hd.ord","Asian"," 0.0776","-0.0034"
"57","hot.deck","Asian"," 0.0772","-0.0038"
"58","amelia","Asian"," 0.0787","-0.0023"
"59","mice","Asian"," 0.0785","-0.0025"
"60","na.omit","Asian"," 0.0751","-0.0059"
