"birthyear","race","gender","att","empl","inc","pid","pid.follow","ideol","ideol.follow","educ","mor.suffer","mor.care","mor.cruel","mor.comp","mor.anim","mor.kill","si.white","si.care","si.kids","si.kill","si.good","si.help","hc.group","hc.likert","hc.slider","hc.check","ev.group","ev.likert","ev.slider","ev.check","online.length","study.choice","RID","online.why","com"
19,1,1,2,6,1,4,3,3,3,2,3,3,3,4,6,5,3,3,3,4,1,1,"si.supp",3,5.5,3,"si.opp",3,5.5,5,5,1,"5fe38a25-8145-b046-015e-5c03fad8b034","gift cards",NA
36,4,2,2,2,4,2,2,3,3,4,2,2,2,3,2,3,2,4,4,2,4,4,"m.opp",4,8.1,1,"control",2,8.2,4,4,3,"5fe38a42-1c4b-d0fc-4c5e-92ab47b1e8e5","last year",NA
18,1,1,2,1,2,2,1,3,3,2,6,6,6,6,6,6,1,6,6,6,1,4,"m.opp",5,10,3,"si.opp",5,9.8,5,1,1,"5fe38a79-58fa-b76d-9591-fd50daf97142","Need extra money ","I liked this survey "
4,1,2,2,2,3,3,2,1,2,2,3,5,6,6,6,3,2,3,6,1,1,2,"m.supp",4,7.3,3,"m.opp",5,7.5,5,1,1,"5fe38a74-544a-8907-05bd-532efce357eb","To make money ","The farmer thing is a good idea but I think there should be crackdowns on big business to help the environment before we toughen up on farmers."
47,1,2,2,5,1,4,3,3,3,3,4,5,5,6,6,5,1,5,1,2,4,5,"si.supp",4,5.5,3,"control",5,9,5,5,2,"5fe38a32-c748-4015-9ba9-9cef41dc8dbd","points & to make a difference in products",NA
55,1,1,2,4,2,1,1,1,2,4,6,6,6,6,5,5,2,4,3,5,4,1,"control",5,8.1,3,"control",5,8.7,5,5,6,"5fe38ab9-728f-6497-4f03-0e768c5878ac","To stimulate mind and memory functions and earn extra money.","I have no additional comments."
63,1,1,2,4,2,3,1,2,1,4,4,5,5,4,4,2,2,4,2,6,3,4,"m.opp",1,1,3,"si.opp",3,6.5,5,5,1,"5fe38aba-2b92-fce4-037c-547c9c2a3e8b","to earn points to purchase items","no comment it was fine"
61,1,1,2,4,1,3,2,2,2,3,5,6,6,6,6,6,1,4,3,3,1,2,"control",5,9.7,3,"control",5,9.2,3,5,1,"5fe38ada-23cd-b57e-7ae3-c3bf311adbd3","for the money",NA
54,1,2,2,4,6,2,2,3,2,2,1,1,2,4,4,4,2,2,1,2,1,2,"si.supp",2,5.3,3,"si.supp",3,4.9,5,5,2,"5fe38a83-7206-78be-c415-dff015c1a1f1","Points that I could use to purchase gift cards",NA
54,1,2,2,4,6,2,2,3,2,2,1,1,2,4,4,4,2,2,1,2,1,2,"si.supp",2,5.3,3,"si.supp",3,4.9,5,5,2,"5fe38a83-7206-78be-c415-dff015c1a1f1","Points that I could use to purchase gift cards",NA
54,1,2,2,4,2,2,2,2,1,2,5,5,4,6,6,2,1,1,1,4,1,1,"m.opp",1,1,3,"si.opp",4,7,5,5,1,"5fe38af3-ae9a-799a-52ac-66bcd8ae4cb5","For extra money",NA
54,1,2,2,4,2,2,2,2,1,2,5,5,4,6,6,2,1,1,1,4,1,1,"m.opp",1,1,3,"si.opp",4,7,5,5,1,"5fe38af3-ae9a-799a-52ac-66bcd8ae4cb5","For extra money",NA
8,1,1,2,1,5,1,1,1,2,5,4,4,4,4,5,4,4,4,3,4,4,4,"m.supp",2,7.2,3,"m.supp",4,7.3,2,3,4,"5fe38a95-894e-d188-88cc-0272be8cd545",NA,"not sure"
56,4,2,2,4,6,1,1,1,1,5,4,5,4,2,2,1,1,4,2,4,4,4,"m.supp",5,9.1,3,"m.supp",5,9,5,5,3,"5fe38a3d-6458-2a23-1502-bcbd2ec840eb","To be aware of the news and goings-on in my community.",NA
