"","method","variable","value","diff"
"1","true","Dem"," 0.4666"," 0.0000"
"2","hd.ord","Dem"," 0.4695"," 0.0029"
"3","hd.norm.orig","Dem"," 0.4721"," 0.0055"
"4","amelia","Dem"," 0.4667"," 0.0001"
"5","mice","Dem"," 0.4669"," 0.0003"
"6","na.omit","Dem"," 0.4668"," 0.0002"
"7","true","age","37.9252"," 0.0000"
"8","hd.ord","age","36.1537","-1.7715"
"9","hd.norm.orig","age","35.8843","-2.0409"
"10","amelia","age","37.9245","-0.0007"
"11","mice","age","37.9371"," 0.0119"
"12","na.omit","age","37.9221","-0.0031"
"13","true","interest"," 3.2164"," 0.0000"
"14","hd.ord","interest"," 3.1160","-0.1004"
"15","hd.norm.orig","interest"," 3.1012","-0.1152"
"16","amelia","interest"," 3.2166"," 0.0002"
"17","mice","interest"," 3.2156","-0.0008"
"18","na.omit","interest"," 3.2165"," 0.0001"
