"","method","variable","value","diff"
"1","true","Dem"," 0.4666"," 0.0000"
"2","hd.ord","Dem"," 0.4666"," 0.0000"
"3","hd.norm.orig","Dem"," 0.4666"," 0.0000"
"4","amelia","Dem"," 0.4667"," 0.0001"
"5","mice","Dem"," 0.4667"," 0.0001"
"6","na.omit","Dem"," 0.4441","-0.0225"
"7","true","inc"," 3.0927"," 0.0000"
"8","hd.ord","inc"," 3.0932"," 0.0005"
"9","hd.norm.orig","inc"," 3.0924","-0.0003"
"10","amelia","inc"," 3.0925","-0.0002"
"11","mice","inc"," 3.0935"," 0.0008"
"12","na.omit","inc"," 3.0229","-0.0698"
"13","true","age","37.9252"," 0.0000"
"14","hd.ord","age","37.9249","-0.0003"
"15","hd.norm.orig","age","37.9219","-0.0033"
"16","amelia","age","37.9270"," 0.0018"
"17","mice","age","37.9301"," 0.0049"
"18","na.omit","age","37.2540","-0.6712"
"19","true","Female"," 0.4666"," 0.0000"
"20","hd.ord","Female"," 0.4668"," 0.0002"
"21","hd.norm.orig","Female"," 0.4667"," 0.0001"
"22","amelia","Female"," 0.4666"," 0.0000"
"23","mice","Female"," 0.4670"," 0.0004"
"24","na.omit","Female"," 0.4417","-0.0249"
"25","true","interest"," 3.2164"," 0.0000"
"26","hd.ord","interest"," 3.2162","-0.0002"
"27","hd.norm.orig","interest"," 3.2162","-0.0002"
"28","amelia","interest"," 3.2162","-0.0002"
"29","mice","interest"," 3.2164"," 0.0000"
"30","na.omit","interest"," 3.1713","-0.0451"
