"","method","variable","value","diff"
"1","true","Rep"," 0.2060"," 0.0000"
"2","hd.ord","Rep"," 0.2060"," 0.0000"
"3","hd.norm.orig","Rep"," 0.2060"," 0.0000"
"4","amelia","Rep"," 0.2060"," 0.0000"
"5","mice","Rep"," 0.2059","-0.0001"
"6","na.omit","Rep"," 0.1930","-0.0130"
"7","true","Ind"," 0.2770"," 0.0000"
"8","hd.ord","Ind"," 0.2771"," 0.0001"
"9","hd.norm.orig","Ind"," 0.2770"," 0.0000"
"10","amelia","Ind"," 0.2771"," 0.0001"
"11","mice","Ind"," 0.2770"," 0.0000"
"12","na.omit","Ind"," 0.2615","-0.0155"
"13","true","Black"," 0.0670"," 0.0000"
"14","hd.ord","Black"," 0.0669","-0.0001"
"15","hd.norm.orig","Black"," 0.0670"," 0.0000"
"16","amelia","Black"," 0.0670"," 0.0000"
"17","mice","Black"," 0.0669","-0.0001"
"18","na.omit","Black"," 0.0580","-0.0090"
"19","true","Hisp"," 0.0540"," 0.0000"
"20","hd.ord","Hisp"," 0.0540"," 0.0000"
"21","hd.norm.orig","Hisp"," 0.0540"," 0.0000"
"22","amelia","Hisp"," 0.0540"," 0.0000"
"23","mice","Hisp"," 0.0540"," 0.0000"
"24","na.omit","Hisp"," 0.0453","-0.0087"
"25","true","Male"," 0.5540"," 0.0000"
"26","hd.ord","Male"," 0.5542"," 0.0002"
"27","hd.norm.orig","Male"," 0.5540"," 0.0000"
"28","amelia","Male"," 0.5537","-0.0003"
"29","mice","Male"," 0.5536","-0.0004"
"30","na.omit","Male"," 0.5366","-0.0174"
"31","true","Unempl"," 0.1640"," 0.0000"
"32","hd.ord","Unempl"," 0.1643"," 0.0003"
"33","hd.norm.orig","Unempl"," 0.1640"," 0.0000"
"34","amelia","Unempl"," 0.1639","-0.0001"
"35","mice","Unempl"," 0.1640"," 0.0000"
"36","na.omit","Unempl"," 0.1568","-0.0072"
"37","true","Stud"," 0.0480"," 0.0000"
"38","hd.ord","Stud"," 0.0482"," 0.0002"
"39","hd.norm.orig","Stud"," 0.0481"," 0.0001"
"40","amelia","Stud"," 0.0480"," 0.0000"
"41","mice","Stud"," 0.0481"," 0.0001"
"42","na.omit","Stud"," 0.0417","-0.0063"
"43","true","Official"," 0.3600"," 0.0000"
"44","hd.ord","Official"," 0.3595","-0.0005"
"45","hd.norm.orig","Official"," 0.3599","-0.0001"
"46","amelia","Official"," 0.3601"," 0.0001"
"47","mice","Official"," 0.3601"," 0.0001"
"48","na.omit","Official"," 0.3235","-0.0365"
"49","true","Media"," 1.7110"," 0.0000"
"50","hd.ord","Media"," 1.7077","-0.0033"
"51","hd.norm.orig","Media"," 1.7063","-0.0047"
"52","amelia","Media"," 1.7111"," 0.0001"
"53","mice","Media"," 1.7110"," 0.0000"
"54","na.omit","Media"," 1.6264","-0.0846"
"55","true","Participation"," 0.9910"," 0.0000"
"56","hd.ord","Participation"," 0.9895","-0.0015"
"57","hd.norm.orig","Participation"," 0.9890","-0.0020"
"58","amelia","Participation"," 0.9909","-0.0001"
"59","mice","Participation"," 0.9911"," 0.0001"
"60","na.omit","Participation"," 0.9058","-0.0852"
"61","true","inc"," 3.1000"," 0.0000"
"62","hd.ord","inc"," 3.0970","-0.0030"
"63","hd.norm.orig","inc"," 3.0930","-0.0070"
"64","amelia","inc"," 3.0999","-0.0001"
"65","mice","inc"," 3.1005"," 0.0005"
"66","na.omit","inc"," 3.0196","-0.0804"
"67","true","age","37.6220"," 0.0000"
"68","hd.ord","age","37.5083","-0.1137"
"69","hd.norm.orig","age","37.4690","-0.1530"
"70","amelia","age","37.6217","-0.0003"
"71","mice","age","37.6236"," 0.0016"
"72","na.omit","age","37.0077","-0.6143"
