"","control","treatment1","treatment2","treatment3","treatment4","variance","levels","groups","sampled_numbers","repeats","diff","label"
"1",NA,4,3,5,3.25,1.80952380952381,5,5,15,100,NA,"rand"
"2",NA,2,3.5,5,3.25,2.0952380952381,5,5,15,100,NA,"rand"
"3",NA,3,2.375,1,4,1.88571428571429,5,5,15,100,NA,"rand"
"4",NA,3.5,2.375,5,2,1.97142857142857,5,5,15,100,NA,"rand"
"5",NA,1.5,3.625,5,3.25,1.80952380952381,5,5,15,100,NA,"rand"
"6",NA,3.5,2.75,1,3.5,2.20952380952381,5,5,15,100,NA,"rand"
"7",NA,4.5,2.5,2,2.5,1.4952380952381,5,5,15,100,NA,"rand"
"8",NA,3,3.125,1,4.5,2.38095238095238,5,5,15,100,NA,"rand"
"9",NA,3,2.625,2,3.75,2.06666666666667,5,5,15,100,NA,"rand"
"10",NA,3.5,2.75,3,3,2.20952380952381,5,5,15,100,NA,"rand"
"11",NA,2,2.375,1,3.5,0.980952380952381,5,5,15,100,NA,"rand"
"12",NA,4,3.375,2,3,1.35238095238095,5,5,15,100,NA,"rand"
"13",NA,3,3.625,3,3.5,1.6952380952381,5,5,15,100,NA,"rand"
"14",NA,1,3.375,3,2.5,1.74285714285714,5,5,15,100,NA,"rand"
"15",NA,4,3,1,3.5,1.98095238095238,5,5,15,100,NA,"rand"
"16",NA,2.5,2.875,5,2.75,2.06666666666667,5,5,15,100,NA,"rand"
"17",NA,3,3.25,2,3,1.4952380952381,5,5,15,100,NA,"rand"
"18",NA,2,3.875,5,2.25,1.92380952380952,5,5,15,100,NA,"rand"
"19",NA,1.5,2.875,4,2.25,2.54285714285714,5,5,15,100,NA,"rand"
"20",NA,1,3,4,2.25,2.82857142857143,5,5,15,100,NA,"rand"
"21",NA,2.5,2.375,4,3,1.52380952380952,5,5,15,100,NA,"rand"
"22",NA,2,2.625,5,4,3.20952380952381,5,5,15,100,NA,"rand"
"23",NA,3.5,3.75,2,2.5,1.35238095238095,5,5,15,100,NA,"rand"
"24",NA,2,3.25,4,3.5,2.17142857142857,5,5,15,100,NA,"rand"
"25",NA,2.5,2.875,2,2.25,1.82857142857143,5,5,15,100,NA,"rand"
"26",NA,1.5,3.125,5,3,2,5,5,15,100,NA,"rand"
"27",NA,3.5,2.75,1,3.25,2.6952380952381,5,5,15,100,NA,"rand"
"28",NA,2.5,2.125,4,3.5,1.80952380952381,5,5,15,100,NA,"rand"
"29",NA,3.5,3,5,3,1.88571428571429,5,5,15,100,NA,"rand"
"30",NA,1.5,3.25,1,2.5,2.0952380952381,5,5,15,100,NA,"rand"
"31",NA,1,3.25,2,2.75,2.20952380952381,5,5,15,100,NA,"rand"
"32",NA,2,3.5,5,2.25,1.78095238095238,5,5,15,100,NA,"rand"
"33",NA,4,2.75,5,2.75,2.63809523809524,5,5,15,100,NA,"rand"
"34",NA,4.5,1.625,4,3.25,1.82857142857143,5,5,15,100,NA,"rand"
"35",NA,1.5,3,4,2,1.97142857142857,5,5,15,100,NA,"rand"
"36",NA,4,3.125,2,4,2.25714285714286,5,5,15,100,NA,"rand"
"37",NA,3.5,3.5,4,2.75,2.52380952380952,5,5,15,100,NA,"rand"
"38",NA,3,3.5,1,3.5,1.78095238095238,5,5,15,100,NA,"rand"
"39",NA,2.5,3.375,5,4.5,1.66666666666667,5,5,15,100,NA,"rand"
"40",NA,5,2.625,3,2,2.74285714285714,5,5,15,100,NA,"rand"
"41",NA,3.5,3,1,2,2.38095238095238,5,5,15,100,NA,"rand"
"42",NA,3.5,3.125,1,4,2.4952380952381,5,5,15,100,NA,"rand"
"43",NA,3,3.25,1,4.5,1.97142857142857,5,5,15,100,NA,"rand"
"44",NA,2.5,3.375,4,3.5,1.80952380952381,5,5,15,100,NA,"rand"
"45",NA,3,2.125,2,3.5,2.68571428571429,5,5,15,100,NA,"rand"
"46",NA,3,3.75,3,3,1.54285714285714,5,5,15,100,NA,"rand"
"47",NA,3,2.5,2,2,1.97142857142857,5,5,15,100,NA,"rand"
"48",NA,3,2.875,3,2.25,1.78095238095238,5,5,15,100,NA,"rand"
"49",NA,5,3.25,4,4,1.63809523809524,5,5,15,100,NA,"rand"
"50",NA,3,3.125,1,3,2.63809523809524,5,5,15,100,NA,"rand"
"51",NA,2,2.625,3,2.25,1.12380952380952,5,5,15,100,NA,"rand"
"52",NA,4,3.75,4,1.75,2.35238095238095,5,5,15,100,NA,"rand"
"53",NA,3.5,3,5,3,2.31428571428571,5,5,15,100,NA,"rand"
"54",NA,3,2.5,2,2.5,1.40952380952381,5,5,15,100,NA,"rand"
"55",NA,5,2.5,4,2.75,2,5,5,15,100,NA,"rand"
"56",NA,2,2.625,4,3,1.63809523809524,5,5,15,100,NA,"rand"
"57",NA,2.5,2.5,3,4.5,2.20952380952381,5,5,15,100,NA,"rand"
"58",NA,2,2.625,5,2.5,2.0952380952381,5,5,15,100,NA,"rand"
"59",NA,2,3.375,5,2.75,2.6952380952381,5,5,15,100,NA,"rand"
"60",NA,1.5,3.625,2,2.75,1.71428571428571,5,5,15,100,NA,"rand"
"61",NA,3,3.25,4,3.5,2.38095238095238,5,5,15,100,NA,"rand"
"62",NA,1.5,3.5,2,3.25,1.92380952380952,5,5,15,100,NA,"rand"
"63",NA,3,3.125,5,3,2.45714285714286,5,5,15,100,NA,"rand"
"64",NA,3,2.75,2,2.25,1.82857142857143,5,5,15,100,NA,"rand"
"65",NA,1.5,3,5,3,1.78095238095238,5,5,15,100,NA,"rand"
"66",NA,1.5,3.625,3,2.75,2.35238095238095,5,5,15,100,NA,"rand"
"67",NA,4,3.25,3,1.75,2.06666666666667,5,5,15,100,NA,"rand"
"68",NA,2,2.25,3,3.5,1.11428571428571,5,5,15,100,NA,"rand"
"69",NA,1.5,2.75,5,3.25,0.980952380952381,5,5,15,100,NA,"rand"
"70",NA,4,3.25,3,1.75,1.92380952380952,5,5,15,100,NA,"rand"
"71",NA,2.5,3,3,3,1.78095238095238,5,5,15,100,NA,"rand"
"72",NA,4,3.75,3,2.5,1.97142857142857,5,5,15,100,NA,"rand"
"73",NA,2,2.875,4,1.25,2.25714285714286,5,5,15,100,NA,"rand"
"74",NA,3.5,3.875,1,4.25,1.63809523809524,5,5,15,100,NA,"rand"
"75",NA,2,2.625,2,2.75,1.6952380952381,5,5,15,100,NA,"rand"
"76",NA,2,3.5,3,2.5,1.57142857142857,5,5,15,100,NA,"rand"
"77",NA,5,2.875,2,3.75,1.95238095238095,5,5,15,100,NA,"rand"
"78",NA,2,2.625,2,2.25,1.82857142857143,5,5,15,100,NA,"rand"
"79",NA,5,2.875,2,3,1.6952380952381,5,5,15,100,NA,"rand"
"80",NA,4.5,2.375,3,2.25,2.23809523809524,5,5,15,100,NA,"rand"
"81",NA,3.5,2.625,3,4.25,2.17142857142857,5,5,15,100,NA,"rand"
"82",NA,3,3.125,5,3,2.74285714285714,5,5,15,100,NA,"rand"
"83",NA,3,2.625,2,2.25,1.98095238095238,5,5,15,100,NA,"rand"
