"Intercepts","Values","SE","t-values"
"Up to 1st|1st-4th",-7.86863198671622,1.02446474877482,-7.68072497967989
"1st-4th|5th-6th",-7.14613814177697,0.717109110791304,-9.96520338988785
"5th-6th|7th-8th",-5.37941717172334,0.325733396419681,-16.5147854989742
"7th-8th|9th",-4.67125700664698,0.252881347152091,-18.472129555042
"9th|10th",-3.91975130966051,0.205544134477793,-19.0701199993815
"10th|11th",-3.46771777520319,0.187556337407173,-18.4889395002153
"11th|12th",-2.98391731881539,0.174501330862224,-17.0996823008262
"12th|HS grad",-2.51154576323604,0.166147110662189,-15.1163974698455
"HS grad|Some college",-0.710515663015332,0.154232069700937,-4.6067958783997
"Some college|Associate",0.384295908645794,0.153725580944563,2.49988262385803
"Associate|Bachelor's",1.04460505180701,0.154398666476073,6.76563519393407
"Bachelor's|Master's",2.47821795103704,0.15949192517535,15.5382032558225
"Master's|Professional",4.09909420167955,0.177115199009388,23.1436614395938
"Professional|Doctorate",4.83825899968721,0.196766649158802,24.5888163485595
