"","method","variable","value","diff"
"1","true","Dem"," 0.4666"," 0.0000"
"2","hd.ord","Dem"," 0.4666"," 0.0000"
"3","hd.norm.orig","Dem"," 0.4667"," 0.0001"
"4","amelia","Dem"," 0.4667"," 0.0001"
"5","mice","Dem"," 0.4670"," 0.0004"
"6","na.omit","Dem"," 0.4667"," 0.0001"
"7","true","Ind"," 0.2802"," 0.0000"
"8","hd.ord","Ind"," 0.2795","-0.0007"
"9","hd.norm.orig","Ind"," 0.2801","-0.0001"
"10","amelia","Ind"," 0.2801","-0.0001"
"11","mice","Ind"," 0.2817"," 0.0015"
"12","na.omit","Ind"," 0.2801","-0.0001"
"13","true","Cons"," 0.2832"," 0.0000"
"14","hd.ord","Cons"," 0.2830","-0.0002"
"15","hd.norm.orig","Cons"," 0.2831","-0.0001"
"16","amelia","Cons"," 0.2831","-0.0001"
"17","mice","Cons"," 0.2823","-0.0009"
"18","na.omit","Cons"," 0.2831","-0.0001"
"19","true","Lib"," 0.5174"," 0.0000"
"20","hd.ord","Lib"," 0.5182"," 0.0008"
"21","hd.norm.orig","Lib"," 0.5176"," 0.0002"
"22","amelia","Lib"," 0.5176"," 0.0002"
"23","mice","Lib"," 0.5173","-0.0001"
"24","na.omit","Lib"," 0.5176"," 0.0002"
"25","true","Black"," 0.0698"," 0.0000"
"26","hd.ord","Black"," 0.0702"," 0.0004"
"27","hd.norm.orig","Black"," 0.0698"," 0.0000"
"28","amelia","Black"," 0.0698"," 0.0000"
"29","mice","Black"," 0.0731"," 0.0033"
"30","na.omit","Black"," 0.0698"," 0.0000"
"31","true","Hisp"," 0.0548"," 0.0000"
"32","hd.ord","Hisp"," 0.0546","-0.0002"
"33","hd.norm.orig","Hisp"," 0.0548"," 0.0000"
"34","amelia","Hisp"," 0.0548"," 0.0000"
"35","mice","Hisp"," 0.0589"," 0.0041"
"36","na.omit","Hisp"," 0.0548"," 0.0000"
"37","true","White"," 0.7717"," 0.0000"
"38","hd.ord","White"," 0.7712","-0.0005"
"39","hd.norm.orig","White"," 0.7717"," 0.0000"
"40","amelia","White"," 0.7717"," 0.0000"
"41","mice","White"," 0.7613","-0.0104"
"42","na.omit","White"," 0.7717"," 0.0000"
"43","true","Asian"," 0.0808"," 0.0000"
"44","hd.ord","Asian"," 0.0812"," 0.0004"
"45","hd.norm.orig","Asian"," 0.0808"," 0.0000"
"46","amelia","Asian"," 0.0809"," 0.0001"
"47","mice","Asian"," 0.0835"," 0.0027"
"48","na.omit","Asian"," 0.0808"," 0.0000"
"49","true","Female"," 0.4666"," 0.0000"
"50","hd.ord","Female"," 0.4665","-0.0001"
"51","hd.norm.orig","Female"," 0.4665","-0.0001"
"52","amelia","Female"," 0.4665","-0.0001"
"53","mice","Female"," 0.4673"," 0.0007"
"54","na.omit","Female"," 0.4665","-0.0001"
"55","true","Unempl"," 0.1615"," 0.0000"
"56","hd.ord","Unempl"," 0.1610","-0.0005"
"57","hd.norm.orig","Unempl"," 0.1616"," 0.0001"
"58","amelia","Unempl"," 0.1616"," 0.0001"
"59","mice","Unempl"," 0.1624"," 0.0009"
"60","na.omit","Unempl"," 0.1616"," 0.0001"
"61","true","Ret"," 0.0508"," 0.0000"
"62","hd.ord","Ret"," 0.0506","-0.0002"
"63","hd.norm.orig","Ret"," 0.0508"," 0.0000"
"64","amelia","Ret"," 0.0509"," 0.0001"
"65","mice","Ret"," 0.0505","-0.0003"
"66","na.omit","Ret"," 0.0509"," 0.0001"
"67","true","Stud"," 0.0439"," 0.0000"
"68","hd.ord","Stud"," 0.0446"," 0.0007"
"69","hd.norm.orig","Stud"," 0.0439"," 0.0000"
"70","amelia","Stud"," 0.0439"," 0.0000"
"71","mice","Stud"," 0.0466"," 0.0027"
"72","na.omit","Stud"," 0.0439"," 0.0000"
"73","true","interest"," 3.2164"," 0.0000"
"74","hd.ord","interest"," 3.2161","-0.0003"
"75","hd.norm.orig","interest"," 3.2163","-0.0001"
"76","amelia","interest"," 3.2164"," 0.0000"
"77","mice","interest"," 3.2122","-0.0042"
"78","na.omit","interest"," 3.2163","-0.0001"
"79","true","media"," 1.7268"," 0.0000"
"80","hd.ord","media"," 1.7294"," 0.0026"
"81","hd.norm.orig","media"," 1.7270"," 0.0002"
"82","amelia","media"," 1.7270"," 0.0002"
"83","mice","media"," 1.7259","-0.0009"
"84","na.omit","media"," 1.7269"," 0.0001"
"85","true","part"," 0.9561"," 0.0000"
"86","hd.ord","part"," 0.9575"," 0.0014"
"87","hd.norm.orig","part"," 0.9560","-0.0001"
"88","amelia","part"," 0.9561"," 0.0000"
"89","mice","part"," 0.9546","-0.0015"
"90","na.omit","part"," 0.9561"," 0.0000"
"91","true","inc"," 3.0927"," 0.0000"
"92","hd.ord","inc"," 3.0906","-0.0021"
"93","hd.norm.orig","inc"," 3.0926","-0.0001"
"94","amelia","inc"," 3.0926","-0.0001"
"95","mice","inc"," 3.0949"," 0.0022"
"96","na.omit","inc"," 3.0926","-0.0001"
"97","true","age","37.9252"," 0.0000"
"98","hd.ord","age","37.9000","-0.0252"
"99","hd.norm.orig","age","37.9250","-0.0002"
"100","amelia","age","37.9243","-0.0009"
"101","mice","age","37.8789","-0.0463"
"102","na.omit","age","37.9250","-0.0002"
