"","method","variable","value","diff"
"1","true","Dem"," 0.4666"," 0.0000"
"2","hd.ord","Dem"," 0.4667"," 0.0001"
"3","hd.norm.orig","Dem"," 0.4671"," 0.0005"
"4","amelia","Dem"," 0.4665","-0.0001"
"5","mice","Dem"," 0.4665","-0.0001"
"6","na.omit","Dem"," 0.4339","-0.0327"
"7","true","inc"," 3.0927"," 0.0000"
"8","hd.ord","inc"," 3.0864","-0.0063"
"9","hd.norm.orig","inc"," 3.0798","-0.0129"
"10","amelia","inc"," 3.0925","-0.0002"
"11","mice","inc"," 3.0937"," 0.0010"
"12","na.omit","inc"," 2.9773","-0.1154"
"13","true","age","37.9252"," 0.0000"
"14","hd.ord","age","37.6382","-0.2870"
"15","hd.norm.orig","age","37.5650","-0.3602"
"16","amelia","age","37.9238","-0.0014"
"17","mice","age","37.9281"," 0.0029"
"18","na.omit","age","36.6743","-1.2509"
"19","true","White"," 0.7717"," 0.0000"
"20","hd.ord","White"," 0.7738"," 0.0021"
"21","hd.norm.orig","White"," 0.7742"," 0.0025"
"22","amelia","White"," 0.7717"," 0.0000"
"23","mice","White"," 0.7716","-0.0001"
"24","na.omit","White"," 0.7453","-0.0264"
"25","true","Female"," 0.4666"," 0.0000"
"26","hd.ord","Female"," 0.4662","-0.0004"
"27","hd.norm.orig","Female"," 0.4658","-0.0008"
"28","amelia","Female"," 0.4666"," 0.0000"
"29","mice","Female"," 0.4667"," 0.0001"
"30","na.omit","Female"," 0.4293","-0.0373"
"31","true","interest"," 3.2164"," 0.0000"
"32","hd.ord","interest"," 3.1990","-0.0174"
"33","hd.norm.orig","interest"," 3.1970","-0.0194"
"34","amelia","interest"," 3.2167"," 0.0003"
"35","mice","interest"," 3.2164"," 0.0000"
"36","na.omit","interest"," 3.1490","-0.0674"
