"","tb_check","tb_ryan_core","tb_ryan_fund","nk_check","nk_ryan_core","nk_ryan_fund","mw_check","mw_ryan_core","mw_ryan_fund","age","race","gender","educ","empl","inc","pid","ideol","interest","official","interest.text","official.text","inc.text","educ.text","pid_follow","ideol_follow","tb","nk","mw","tb_supp","nk_supp","mw_supp","media","part","tb_rand_order","nk_rand_order","mw_rand_order"
"4",0,"4","3",0,"3","4",1,"3","3","30","White","Female","2","Student","2","Republican","Liberal","3",1,"Some of the time","Yes","$20,000 to $39,999","High School / GED","Strong","Somewhat liberal","C","P_Opp","M_Supp",3,3,3,"1","1","core|fund|check","fund|core|check","check|fund|core"
"5",0,"3","4",0,"4","3",1,"2","3","22","Asian","Female","3","Employed full time outside of the home","3","Independent","Conservative","2",0,"Only now and then","No","$40,000 to $59,999","Some college work","Closer to the Democratic Party","Somewhat conservative","M_Supp","P_Supp","M_Supp",4,2,4,"2","1","core|check|fund","check|fund|core","fund|core|check"
"6",0,"1","1",0,"4","4",1,"5","5","25","Hispanic","Female","3","Employed full time outside of the home","2","Democrat","Liberal","3",0,"Some of the time","No","$20,000 to $39,999","Some college work","Not very strong","Very liberal","P_Supp","P_Opp","P_Supp",3,5,5,"1","1","core|check|fund","check|core|fund","check|core|fund"
"7",0,"4","4",0,"4","4",1,"4","4","25","White","Male","4","Employed full time outside of the home","4","Republican","Conservative","2",1,"Only now and then","Yes","$60,000 to $79,999","Associate degree","Strong","Very conservative","P_Supp","P_Supp","C",5,4,4,"2","1","core|fund|check","fund|core|check","core|fund|check"
"8",1,"3","3",0,"3","3",0,"4","4","26","White","Male","5","Employed full time outside of the home","2","Democrat","Liberal","4",0,"Most of the time","No","$20,000 to $39,999","Bachelor's degree","Not very strong","Very liberal","M_Supp","M_Supp","P_Opp",2,2,5,"3","1","check|core|fund","check|core|fund","fund|core|check"
"9",1,"2","4",0,"2","4",0,"2","4","29","White","Male","4","Employed full time outside of the home","2","Democrat","Liberal","2",0,"Only now and then","No","$20,000 to $39,999","Associate degree","Strong","Very liberal","M_Supp","P_Opp","P_Supp",2,5,4,"2","1","fund|core|check","check|core|fund","core|fund|check"
"10",1,"3","3",0,"4","4",0,"2","4","24","Asian","Male","5","Employed full time outside of the home","2","Republican","Conservative","2",0,"Only now and then","No","$20,000 to $39,999","Bachelor's degree","Not very strong","Somewhat conservative","P_Opp","M_Supp","P_Supp",4,4,3,"1","1","check|fund|core","check|core|fund","core|check|fund"
"11",0,"4","4",0,"5","3",0,"5","5","48","White","Female","5","Employed full time outside of the home","6","Democrat","Liberal","4",1,"Most of the time","Yes","$100,000 to $149,999","Bachelor's degree","Strong","Very liberal","M_Supp","M_Supp","P_Opp",2,1,5,"2","3","fund|core|check","fund|core|check","core|fund|check"
"12",0,"1","1",1,"5","5",0,"2","3","42","White","Female","5","Unemployed","3","Independent","Liberal","2",1,"Only now and then","Yes","$40,000 to $59,999","Bachelor's degree","Neither","Somewhat liberal","M_Supp","M_Opp","M_Supp",5,1,4,"1","1","fund|core|check","core|check|fund","core|check|fund"
"13",0,"4","4",1,"4","4",0,"2","2","38","Asian","Male","3","Employed part time outside of the home","2","Independent","Conservative","2",0,"Only now and then","No","$20,000 to $39,999","Some college work","Closer to the Republican Party","Somewhat conservative","M_Supp","M_Supp","M_Opp",1,1,3,"1","1","core|fund|check","fund|core|check","core|fund|check"
"14",0,"2","4",0,"4","4",0,"3","3","32","White","Female","6","Employed part time outside of the home","4","Republican","Conservative","4",1,"Most of the time","Yes","$60,000 to $79,999","Master's degree","Strong","Somewhat conservative","C","P_Supp","M_Supp",4,4,2,"2","1","core|check|fund","fund|core|check","fund|check|core"
