"","method","variable","value","diff"
"1","true","Dem"," 0.3370"," 0.0000"
"2","hd.ord","Dem"," 0.3369","-0.0001"
"3","hot.deck","Dem"," 0.3368","-0.0002"
"4","amelia","Dem"," 0.3370"," 0.0000"
"5","mice","Dem"," 0.3370"," 0.0000"
"6","na.omit","Dem"," 0.3068","-0.0302"
"7","true","Male"," 0.4868"," 0.0000"
"8","hd.ord","Male"," 0.4864","-0.0004"
"9","hot.deck","Male"," 0.4860","-0.0008"
"10","amelia","Male"," 0.4869"," 0.0001"
"11","mice","Male"," 0.4869"," 0.0001"
"12","na.omit","Male"," 0.4503","-0.0365"
"13","true","Interest"," 2.8806"," 0.0000"
"14","hd.ord","Interest"," 2.8719","-0.0087"
"15","hot.deck","Interest"," 2.8671","-0.0135"
"16","amelia","Interest"," 2.8807"," 0.0001"
"17","mice","Interest"," 2.8806"," 0.0000"
"18","na.omit","Interest"," 2.8065","-0.0741"
"19","true","Inc","16.6894"," 0.0000"
"20","hd.ord","Inc","16.6288","-0.0606"
"21","hot.deck","Inc","16.5864","-0.1030"
"22","amelia","Inc","16.6903"," 0.0009"
"23","mice","Inc","16.6887","-0.0007"
"24","na.omit","Inc","16.1320","-0.5574"
"25","true","Age","50.3745"," 0.0000"
"26","hd.ord","Age","50.1390","-0.2355"
"27","hot.deck","Age","50.0047","-0.3698"
"28","amelia","Age","50.3801"," 0.0056"
"29","mice","Age","50.3798"," 0.0053"
"30","na.omit","Age","49.0960","-1.2785"
