"","method","variable","value","diff"
"1","true","Dem"," 0.3420"," 0.0000"
"2","hd.ord","Dem"," 0.3412","-0.0008"
"3","hot.deck","Dem"," 0.3402","-0.0018"
"4","amelia","Dem"," 0.3422"," 0.0002"
"5","mice","Dem"," 0.3421"," 0.0001"
"6","na.omit","Dem"," 0.3087","-0.0333"
"7","true","Male"," 0.4890"," 0.0000"
"8","hd.ord","Male"," 0.4868","-0.0022"
"9","hot.deck","Male"," 0.4875","-0.0015"
"10","amelia","Male"," 0.4891"," 0.0001"
"11","mice","Male"," 0.4890"," 0.0000"
"12","na.omit","Male"," 0.4494","-0.0396"
"13","true","Inc","16.6140"," 0.0000"
"14","hd.ord","Inc","16.5310","-0.0830"
"15","hot.deck","Inc","16.4617","-0.1523"
"16","amelia","Inc","16.6150"," 0.0010"
"17","mice","Inc","16.6132","-0.0008"
"18","na.omit","Inc","16.0369","-0.5771"
"19","true","Age","50.0410"," 0.0000"
"20","hd.ord","Age","49.7521","-0.2889"
"21","hot.deck","Age","49.4979","-0.5431"
"22","amelia","Age","50.0428"," 0.0018"
"23","mice","Age","50.0434"," 0.0024"
"24","na.omit","Age","48.8889","-1.1521"
