"","method","variable","value","diff"
"1","true","Dem"," 0.3420"," 0.0000"
"2","hd.ord","Dem"," 0.3415","-0.0005"
"3","hot.deck","Dem"," 0.3415","-0.0005"
"4","amelia","Dem"," 0.3420"," 0.0000"
"5","mice","Dem"," 0.3420"," 0.0000"
"6","na.omit","Dem"," 0.3229","-0.0191"
"7","true","Male"," 0.4890"," 0.0000"
"8","hd.ord","Male"," 0.4886","-0.0004"
"9","hot.deck","Male"," 0.4889","-0.0001"
"10","amelia","Male"," 0.4891"," 0.0001"
"11","mice","Male"," 0.4890"," 0.0000"
"12","na.omit","Male"," 0.4634","-0.0256"
"13","true","Interest"," 2.9340"," 0.0000"
"14","hd.ord","Interest"," 2.9287","-0.0053"
"15","hot.deck","Interest"," 2.9263","-0.0077"
"16","amelia","Interest"," 2.9341"," 0.0001"
"17","mice","Interest"," 2.9340"," 0.0000"
"18","na.omit","Interest"," 2.8720","-0.0620"
"19","true","Inc","16.6140"," 0.0000"
"20","hd.ord","Inc","16.5670","-0.0470"
"21","hot.deck","Inc","16.5549","-0.0591"
"22","amelia","Inc","16.6133","-0.0007"
"23","mice","Inc","16.6127","-0.0013"
"24","na.omit","Inc","15.9837","-0.6303"
"25","true","Age","50.0410"," 0.0000"
"26","hd.ord","Age","49.9019","-0.1391"
"27","hot.deck","Age","49.8575","-0.1835"
"28","amelia","Age","50.0466"," 0.0056"
"29","mice","Age","50.0458"," 0.0048"
"30","na.omit","Age","49.1772","-0.8638"
"31","true","Black"," 0.0790"," 0.0000"
"32","hd.ord","Black"," 0.0790"," 0.0000"
"33","hot.deck","Black"," 0.0790"," 0.0000"
"34","amelia","Black"," 0.0790"," 0.0000"
"35","mice","Black"," 0.0790"," 0.0000"
"36","na.omit","Black"," 0.0698","-0.0092"
"37","true","Empl"," 0.6610"," 0.0000"
"38","hd.ord","Empl"," 0.6616"," 0.0006"
"39","hot.deck","Empl"," 0.6616"," 0.0006"
"40","amelia","Empl"," 0.6610"," 0.0000"
"41","mice","Empl"," 0.6610"," 0.0000"
"42","na.omit","Empl"," 0.6523","-0.0087"
"43","true","Religious"," 0.6460"," 0.0000"
"44","hd.ord","Religious"," 0.6454","-0.0006"
"45","hot.deck","Religious"," 0.6455","-0.0005"
"46","amelia","Religious"," 0.6459","-0.0001"
"47","mice","Religious"," 0.6459","-0.0001"
"48","na.omit","Religious"," 0.6294","-0.0166"
"49","true","Married"," 0.5290"," 0.0000"
"50","hd.ord","Married"," 0.5292"," 0.0002"
"51","hot.deck","Married"," 0.5292"," 0.0002"
"52","amelia","Married"," 0.5289","-0.0001"
"53","mice","Married"," 0.5289","-0.0001"
"54","na.omit","Married"," 0.4906","-0.0384"
"55","true","OwnHome"," 0.6820"," 0.0000"
"56","hd.ord","OwnHome"," 0.6819","-0.0001"
"57","hot.deck","OwnHome"," 0.6820"," 0.0000"
"58","amelia","OwnHome"," 0.6821"," 0.0001"
"59","mice","OwnHome"," 0.6819","-0.0001"
"60","na.omit","OwnHome"," 0.6486","-0.0334"
"61","true","Rally"," 0.0830"," 0.0000"
"62","hd.ord","Rally"," 0.0829","-0.0001"
"63","hot.deck","Rally"," 0.0828","-0.0002"
"64","amelia","Rally"," 0.0831"," 0.0001"
"65","mice","Rally"," 0.0831"," 0.0001"
"66","na.omit","Rally"," 0.0639","-0.0191"
"67","true","Donate"," 0.1390"," 0.0000"
"68","hd.ord","Donate"," 0.1388","-0.0002"
"69","hot.deck","Donate"," 0.1385","-0.0005"
"70","amelia","Donate"," 0.1390"," 0.0000"
"71","mice","Donate"," 0.1391"," 0.0001"
"72","na.omit","Donate"," 0.1070","-0.0320"
