"","method","variable","value","diff"
"1","true","Dem"," 0.3420"," 0.0000"
"2","hd.ord","Dem"," 0.3370","-0.0050"
"3","hot.deck","Dem"," 0.3367","-0.0053"
"4","amelia","Dem"," 0.3373","-0.0047"
"5","mice","Dem"," 0.3376","-0.0044"
"6","na.omit","Dem"," 0.3323","-0.0097"
"7","true","Male"," 0.4890"," 0.0000"
"8","hd.ord","Male"," 0.4829","-0.0061"
"9","hot.deck","Male"," 0.4833","-0.0057"
"10","amelia","Male"," 0.4830","-0.0060"
"11","mice","Male"," 0.4830","-0.0060"
"12","na.omit","Male"," 0.4802","-0.0088"
"13","true","Inc","16.6140"," 0.0000"
"14","hd.ord","Inc","16.5299","-0.0841"
"15","hot.deck","Inc","16.4998","-0.1142"
"16","amelia","Inc","16.5600","-0.0540"
"17","mice","Inc","16.5591","-0.0549"
"18","na.omit","Inc","16.4028","-0.2112"
"19","true","Age","50.0410"," 0.0000"
"20","hd.ord","Age","49.8286","-0.2124"
"21","hot.deck","Age","49.7081","-0.3329"
"22","amelia","Age","49.9216","-0.1194"
"23","mice","Age","49.9269","-0.1141"
"24","na.omit","Age","49.7432","-0.2978"
"25","true","Black"," 0.0790"," 0.0000"
"26","hd.ord","Black"," 0.0754","-0.0036"
"27","hot.deck","Black"," 0.0750","-0.0040"
"28","amelia","Black"," 0.0749","-0.0041"
"29","mice","Black"," 0.0753","-0.0037"
"30","na.omit","Black"," 0.0740","-0.0050"
"31","true","Empl"," 0.6610"," 0.0000"
"32","hd.ord","Empl"," 0.6568","-0.0042"
"33","hot.deck","Empl"," 0.6574","-0.0036"
"34","amelia","Empl"," 0.6576","-0.0034"
"35","mice","Empl"," 0.6577","-0.0033"
"36","na.omit","Empl"," 0.6588","-0.0022"
"37","true","Religious"," 0.6460"," 0.0000"
"38","hd.ord","Religious"," 0.6415","-0.0045"
"39","hot.deck","Religious"," 0.6413","-0.0047"
"40","amelia","Religious"," 0.6417","-0.0043"
"41","mice","Religious"," 0.6417","-0.0043"
"42","na.omit","Religious"," 0.6405","-0.0055"
"43","true","Married"," 0.5290"," 0.0000"
"44","hd.ord","Married"," 0.5243","-0.0047"
"45","hot.deck","Married"," 0.5248","-0.0042"
"46","amelia","Married"," 0.5244","-0.0046"
"47","mice","Married"," 0.5245","-0.0045"
"48","na.omit","Married"," 0.5170","-0.0120"
"49","true","OwnHome"," 0.6820"," 0.0000"
"50","hd.ord","OwnHome"," 0.6783","-0.0037"
"51","hot.deck","OwnHome"," 0.6790","-0.0030"
"52","amelia","OwnHome"," 0.6789","-0.0031"
"53","mice","OwnHome"," 0.6790","-0.0030"
"54","na.omit","OwnHome"," 0.6708","-0.0112"
"55","true","Rally"," 0.0830"," 0.0000"
"56","hd.ord","Rally"," 0.0783","-0.0047"
"57","hot.deck","Rally"," 0.0783","-0.0047"
"58","amelia","Rally"," 0.0785","-0.0045"
"59","mice","Rally"," 0.0786","-0.0044"
"60","na.omit","Rally"," 0.0750","-0.0080"
"61","true","Donate"," 0.1390"," 0.0000"
"62","hd.ord","Donate"," 0.1333","-0.0057"
"63","hot.deck","Donate"," 0.1330","-0.0060"
"64","amelia","Donate"," 0.1336","-0.0054"
"65","mice","Donate"," 0.1337","-0.0053"
"66","na.omit","Donate"," 0.1268","-0.0122"
