"","method","variable","value","diff"
"1","true","Dem"," 0.3420"," 0.0000"
"2","hd.ord","Dem"," 0.3306","-0.0114"
"3","hot.deck","Dem"," 0.3300","-0.0120"
"4","amelia","Dem"," 0.3314","-0.0106"
"5","mice","Dem"," 0.3321","-0.0099"
"6","na.omit","Dem"," 0.3244","-0.0176"
"7","true","Male"," 0.4890"," 0.0000"
"8","hd.ord","Male"," 0.4754","-0.0136"
"9","hot.deck","Male"," 0.4757","-0.0133"
"10","amelia","Male"," 0.4758","-0.0132"
"11","mice","Male"," 0.4758","-0.0132"
"12","na.omit","Male"," 0.4676","-0.0214"
"13","true","Interest"," 2.9340"," 0.0000"
"14","hd.ord","Interest"," 2.9052","-0.0288"
"15","hot.deck","Interest"," 2.9005","-0.0335"
"16","amelia","Interest"," 2.9173","-0.0167"
"17","mice","Interest"," 2.9173","-0.0167"
"18","na.omit","Interest"," 2.8961","-0.0379"
"19","true","Inc","16.6140"," 0.0000"
"20","hd.ord","Inc","16.3841","-0.2299"
"21","hot.deck","Inc","16.3586","-0.2554"
"22","amelia","Inc","16.4915","-0.1225"
"23","mice","Inc","16.4911","-0.1229"
"24","na.omit","Inc","16.3370","-0.2770"
"25","true","Age","50.0410"," 0.0000"
"26","hd.ord","Age","49.4091","-0.6319"
"27","hot.deck","Age","49.2995","-0.7415"
"28","amelia","Age","49.7960","-0.2450"
"29","mice","Age","49.8041","-0.2369"
"30","na.omit","Age","49.3983","-0.6427"
