"","control","treatment1","treatment2","variance","levels","groups","sampled_numbers","repeats","diff","label"
"1",NA,3.33333333333333,3.5,2.02777777777778,5,3,9,100,NA,"rand"
"2",NA,3.33333333333333,2.83333333333333,2.25,5,3,9,100,NA,"rand"
"3",NA,4.66666666666667,3.66666666666667,1,5,3,9,100,NA,"rand"
"4",NA,3.66666666666667,2.83333333333333,2.36111111111111,5,3,9,100,NA,"rand"
"5",NA,2.33333333333333,2.16666666666667,0.944444444444444,5,3,9,100,NA,"rand"
"6",NA,1.66666666666667,2.83333333333333,2.02777777777778,5,3,9,100,NA,"rand"
"7",NA,2.66666666666667,2.66666666666667,2,5,3,9,100,NA,"rand"
"8",NA,4.66666666666667,3.5,1.11111111111111,5,3,9,100,NA,"rand"
"9",NA,2.33333333333333,2.33333333333333,1.25,5,3,9,100,NA,"rand"
"10",NA,3,3.66666666666667,2.52777777777778,5,3,9,100,NA,"rand"
"11",NA,3,2.16666666666667,1.77777777777778,5,3,9,100,NA,"rand"
"12",NA,3,4,1.25,5,3,9,100,NA,"rand"
"13",NA,2.66666666666667,2.83333333333333,2.69444444444444,5,3,9,100,NA,"rand"
"14",NA,3,3.16666666666667,1.61111111111111,5,3,9,100,NA,"rand"
"15",NA,3.33333333333333,2.83333333333333,2.5,5,3,9,100,NA,"rand"
"16",NA,4,2.66666666666667,2.36111111111111,5,3,9,100,NA,"rand"
"17",NA,2.33333333333333,3.16666666666667,2.11111111111111,5,3,9,100,NA,"rand"
"18",NA,2.33333333333333,2.16666666666667,0.444444444444444,5,3,9,100,NA,"rand"
"19",NA,2.33333333333333,3.16666666666667,0.861111111111111,5,3,9,100,NA,"rand"
"20",NA,3.66666666666667,3.33333333333333,1.77777777777778,5,3,9,100,NA,"rand"
"21",NA,2.33333333333333,3.66666666666667,1.44444444444444,5,3,9,100,NA,"rand"
"22",NA,4,3.5,1.5,5,3,9,100,NA,"rand"
"23",NA,3.66666666666667,2.83333333333333,1.86111111111111,5,3,9,100,NA,"rand"
"24",NA,2,2.33333333333333,1.44444444444444,5,3,9,100,NA,"rand"
"25",NA,4.33333333333333,3,2.27777777777778,5,3,9,100,NA,"rand"
"26",NA,3.66666666666667,2.83333333333333,1.36111111111111,5,3,9,100,NA,"rand"
"27",NA,4,2,2.75,5,3,9,100,NA,"rand"
"28",NA,3,3.5,1.75,5,3,9,100,NA,"rand"
"29",NA,3,3.33333333333333,1.69444444444444,5,3,9,100,NA,"rand"
"30",NA,3,3.16666666666667,1.86111111111111,5,3,9,100,NA,"rand"
"31",NA,2,3.16666666666667,3.19444444444444,5,3,9,100,NA,"rand"
"32",NA,2.33333333333333,2,1.36111111111111,5,3,9,100,NA,"rand"
"33",NA,3.33333333333333,3,3.36111111111111,5,3,9,100,NA,"rand"
"34",NA,3,2.83333333333333,2.11111111111111,5,3,9,100,NA,"rand"
"35",NA,2.33333333333333,2.16666666666667,1.19444444444444,5,3,9,100,NA,"rand"
"36",NA,4,3.16666666666667,2.77777777777778,5,3,9,100,NA,"rand"
"37",NA,2.33333333333333,3,2.94444444444444,5,3,9,100,NA,"rand"
"38",NA,3.33333333333333,3.5,1.77777777777778,5,3,9,100,NA,"rand"
"39",NA,2,3,1.5,5,3,9,100,NA,"rand"
"40",NA,3.66666666666667,3.5,2.02777777777778,5,3,9,100,NA,"rand"
"41",NA,2.33333333333333,2.16666666666667,2.19444444444444,5,3,9,100,NA,"rand"
"42",NA,3.66666666666667,3.16666666666667,1.25,5,3,9,100,NA,"rand"
"43",NA,4.33333333333333,2.66666666666667,1.94444444444444,5,3,9,100,NA,"rand"
"44",NA,3.33333333333333,2.16666666666667,2.02777777777778,5,3,9,100,NA,"rand"
"45",NA,2.33333333333333,3,3.19444444444444,5,3,9,100,NA,"rand"
"46",NA,2.66666666666667,3,1.61111111111111,5,3,9,100,NA,"rand"
"47",NA,1.33333333333333,3.33333333333333,1.75,5,3,9,100,NA,"rand"
"48",NA,2.66666666666667,3.5,2.44444444444444,5,3,9,100,NA,"rand"
"49",NA,4,1.5,2,5,3,9,100,NA,"rand"
"50",NA,4.33333333333333,2.5,2.11111111111111,5,3,9,100,NA,"rand"
"51",NA,2.66666666666667,2.83333333333333,2.44444444444444,5,3,9,100,NA,"rand"
"52",NA,3.66666666666667,2.16666666666667,1.75,5,3,9,100,NA,"rand"
"53",NA,4.66666666666667,2.83333333333333,1.77777777777778,5,3,9,100,NA,"rand"
"54",NA,2,3.33333333333333,2.61111111111111,5,3,9,100,NA,"rand"
"55",NA,3.33333333333333,2.83333333333333,2.75,5,3,9,100,NA,"rand"
"56",NA,2.66666666666667,2.5,2.02777777777778,5,3,9,100,NA,"rand"
"57",NA,2,3.16666666666667,2.19444444444444,5,3,9,100,NA,"rand"
"58",NA,2.66666666666667,2.66666666666667,2,5,3,9,100,NA,"rand"
"59",NA,2,3.66666666666667,2.86111111111111,5,3,9,100,NA,"rand"
