"","method","variable","value","diff"
"1","true","Dem"," 0.4032"," 0.0000"
"2","hd.ord","Dem"," 0.3927","-0.0105"
"3","hot.deck","Dem"," 0.3927","-0.0105"
"4","amelia","Dem"," 0.3923","-0.0109"
"5","mice","Dem"," 0.3926","-0.0106"
"6","na.omit","Dem"," 0.3887","-0.0145"
"7","true","Male"," 0.4521"," 0.0000"
"8","hd.ord","Male"," 0.4392","-0.0129"
"9","hot.deck","Male"," 0.4390","-0.0131"
"10","amelia","Male"," 0.4389","-0.0132"
"11","mice","Male"," 0.4390","-0.0131"
"12","na.omit","Male"," 0.4277","-0.0244"
"13","true","Interest"," 3.3301"," 0.0000"
"14","hd.ord","Interest"," 3.3130","-0.0171"
"15","hot.deck","Interest"," 3.3122","-0.0179"
"16","amelia","Interest"," 3.3154","-0.0147"
"17","mice","Interest"," 3.3153","-0.0148"
"18","na.omit","Interest"," 3.2883","-0.0418"
"19","true","Inc"," 6.5830"," 0.0000"
"20","hd.ord","Inc"," 6.5139","-0.0691"
"21","hot.deck","Inc"," 6.5134","-0.0696"
"22","amelia","Inc"," 6.5193","-0.0637"
"23","mice","Inc"," 6.5196","-0.0634"
"24","na.omit","Inc"," 6.4455","-0.1375"
"25","true","Age","52.8639"," 0.0000"
"26","hd.ord","Age","52.6308","-0.2331"
"27","hot.deck","Age","52.5875","-0.2764"
"28","amelia","Age","52.6297","-0.2342"
"29","mice","Age","52.6268","-0.2371"
"30","na.omit","Age","52.2163","-0.6476"
