"","method","variable","value","diff"
"1","true","Dem"," 0.3770"," 0.0000"
"2","hd.ord","Dem"," 0.3770"," 0.0000"
"3","hot.deck","Dem"," 0.3766","-0.0004"
"4","amelia","Dem"," 0.3771"," 0.0001"
"5","mice","Dem"," 0.3772"," 0.0002"
"6","na.omit","Dem"," 0.3541","-0.0229"
"7","true","Male"," 0.4830"," 0.0000"
"8","hd.ord","Male"," 0.4819","-0.0011"
"9","hot.deck","Male"," 0.4816","-0.0014"
"10","amelia","Male"," 0.4829","-0.0001"
"11","mice","Male"," 0.4829","-0.0001"
"12","na.omit","Male"," 0.4416","-0.0414"
"13","true","Interest"," 3.3290"," 0.0000"
"14","hd.ord","Interest"," 3.3165","-0.0125"
"15","hot.deck","Interest"," 3.3094","-0.0196"
"16","amelia","Interest"," 3.3293"," 0.0003"
"17","mice","Interest"," 3.3290"," 0.0000"
"18","na.omit","Interest"," 3.2566","-0.0724"
"19","true","Inc"," 6.4810"," 0.0000"
"20","hd.ord","Inc"," 6.4551","-0.0259"
"21","hot.deck","Inc"," 6.4403","-0.0407"
"22","amelia","Inc"," 6.4806","-0.0004"
"23","mice","Inc"," 6.4808","-0.0002"
"24","na.omit","Inc"," 6.2342","-0.2468"
"25","true","Age","52.8230"," 0.0000"
"26","hd.ord","Age","52.5614","-0.2616"
"27","hot.deck","Age","52.4335","-0.3895"
"28","amelia","Age","52.8197","-0.0033"
"29","mice","Age","52.8157","-0.0073"
"30","na.omit","Age","51.5869","-1.2361"
