"","method","variable","value","diff"
"1","true","Dem"," 0.3770"," 0.0000"
"2","hd.ord","Dem"," 0.3717","-0.0053"
"3","hot.deck","Dem"," 0.3717","-0.0053"
"4","amelia","Dem"," 0.3721","-0.0049"
"5","mice","Dem"," 0.3722","-0.0048"
"6","na.omit","Dem"," 0.3673","-0.0097"
"7","true","Male"," 0.4830"," 0.0000"
"8","hd.ord","Male"," 0.4772","-0.0058"
"9","hot.deck","Male"," 0.4774","-0.0056"
"10","amelia","Male"," 0.4776","-0.0054"
"11","mice","Male"," 0.4776","-0.0054"
"12","na.omit","Male"," 0.4714","-0.0116"
"13","true","Inc"," 6.4810"," 0.0000"
"14","hd.ord","Inc"," 6.4461","-0.0349"
"15","hot.deck","Inc"," 6.4337","-0.0473"
"16","amelia","Inc"," 6.4560","-0.0250"
"17","mice","Inc"," 6.4561","-0.0249"
"18","na.omit","Inc"," 6.3828","-0.0982"
"19","true","Age","52.8230"," 0.0000"
"20","hd.ord","Age","52.6623","-0.1607"
"21","hot.deck","Age","52.5806","-0.2424"
"22","amelia","Age","52.7095","-0.1135"
"23","mice","Age","52.7128","-0.1102"
"24","na.omit","Age","52.7256","-0.0974"
"25","true","Black"," 0.0950"," 0.0000"
"26","hd.ord","Black"," 0.0905","-0.0045"
"27","hot.deck","Black"," 0.0908","-0.0042"
"28","amelia","Black"," 0.0906","-0.0044"
"29","mice","Black"," 0.0909","-0.0041"
"30","na.omit","Black"," 0.0884","-0.0066"
"31","true","Empl"," 0.4370"," 0.0000"
"32","hd.ord","Empl"," 0.4313","-0.0057"
"33","hot.deck","Empl"," 0.4312","-0.0058"
"34","amelia","Empl"," 0.4325","-0.0045"
"35","mice","Empl"," 0.4326","-0.0044"
"36","na.omit","Empl"," 0.4248","-0.0122"
"37","true","Religious"," 0.6420"," 0.0000"
"38","hd.ord","Religious"," 0.6376","-0.0044"
"39","hot.deck","Religious"," 0.6378","-0.0042"
"40","amelia","Religious"," 0.6375","-0.0045"
"41","mice","Religious"," 0.6375","-0.0045"
"42","na.omit","Religious"," 0.6343","-0.0077"
"43","true","Married"," 0.6310"," 0.0000"
"44","hd.ord","Married"," 0.6267","-0.0043"
"45","hot.deck","Married"," 0.6270","-0.0040"
"46","amelia","Married"," 0.6271","-0.0039"
"47","mice","Married"," 0.6271","-0.0039"
"48","na.omit","Married"," 0.6215","-0.0095"
"49","true","OwnHome"," 0.7010"," 0.0000"
"50","hd.ord","OwnHome"," 0.6975","-0.0035"
"51","hot.deck","OwnHome"," 0.6980","-0.0030"
"52","amelia","OwnHome"," 0.6977","-0.0033"
"53","mice","OwnHome"," 0.6977","-0.0033"
"54","na.omit","OwnHome"," 0.6922","-0.0088"
"55","true","Gay"," 0.0420"," 0.0000"
"56","hd.ord","Gay"," 0.0393","-0.0027"
"57","hot.deck","Gay"," 0.0394","-0.0026"
"58","amelia","Gay"," 0.0392","-0.0028"
"59","mice","Gay"," 0.0393","-0.0027"
"60","na.omit","Gay"," 0.0383","-0.0037"
"61","true","StudLoans"," 0.1910"," 0.0000"
"62","hd.ord","StudLoans"," 0.1843","-0.0067"
"63","hot.deck","StudLoans"," 0.1846","-0.0064"
"64","amelia","StudLoans"," 0.1853","-0.0057"
"65","mice","StudLoans"," 0.1854","-0.0056"
"66","na.omit","StudLoans"," 0.1828","-0.0082"
