"","method","variable","value","diff"
"1","true","Democrat"," 0.3826"," 0.0000"
"2","hd.ord","Democrat"," 0.3829"," 0.0003"
"3","hot.deck","Democrat"," 0.3829"," 0.0003"
"4","amelia","Democrat"," 0.3826"," 0.0000"
"5","mice","Democrat"," 0.3825","-0.0001"
"6","na.omit","Democrat"," 0.3577","-0.0249"
"7","true","Male"," 0.4714"," 0.0000"
"8","hd.ord","Male"," 0.4717"," 0.0003"
"9","hot.deck","Male"," 0.4716"," 0.0002"
"10","amelia","Male"," 0.4714"," 0.0000"
"11","mice","Male"," 0.4713","-0.0001"
"12","na.omit","Male"," 0.4389","-0.0325"
"13","true","Employed"," 0.5684"," 0.0000"
"14","hd.ord","Employed"," 0.5697"," 0.0013"
"15","hot.deck","Employed"," 0.5698"," 0.0014"
"16","amelia","Employed"," 0.5685"," 0.0001"
"17","mice","Employed"," 0.5684"," 0.0000"
"18","na.omit","Employed"," 0.5424","-0.0260"
"19","true","Income"," 3.4923"," 0.0000"
"20","hd.ord","Income"," 3.4888","-0.0035"
"21","hot.deck","Income"," 3.4849","-0.0074"
"22","amelia","Income"," 3.4922","-0.0001"
"23","mice","Income"," 3.4921","-0.0002"
"24","na.omit","Income"," 3.3419","-0.1504"
"25","true","Age","44.9574"," 0.0000"
"26","hd.ord","Age","44.8459","-0.1115"
"27","hot.deck","Age","44.7981","-0.1593"
"28","amelia","Age","44.9582"," 0.0008"
"29","mice","Age","44.9565","-0.0009"
"30","na.omit","Age","44.8653","-0.0921"
"31","true","Student"," 0.0481"," 0.0000"
"32","hd.ord","Student"," 0.0481"," 0.0000"
"33","hot.deck","Student"," 0.0482"," 0.0001"
"34","amelia","Student"," 0.0481"," 0.0000"
"35","mice","Student"," 0.0480","-0.0001"
"36","na.omit","Student"," 0.0416","-0.0065"
"37","true","Conservative"," 0.3744"," 0.0000"
"38","hd.ord","Conservative"," 0.3748"," 0.0004"
"39","hot.deck","Conservative"," 0.3747"," 0.0003"
"40","amelia","Conservative"," 0.3745"," 0.0001"
"41","mice","Conservative"," 0.3746"," 0.0002"
"42","na.omit","Conservative"," 0.3551","-0.0193"
"43","true","Black"," 0.1242"," 0.0000"
"44","hd.ord","Black"," 0.1245"," 0.0003"
"45","hot.deck","Black"," 0.1246"," 0.0004"
"46","amelia","Black"," 0.1242"," 0.0000"
"47","mice","Black"," 0.1242"," 0.0000"
"48","na.omit","Black"," 0.1156","-0.0086"
"49","true","Hisp"," 0.0907"," 0.0000"
"50","hd.ord","Hisp"," 0.0910"," 0.0003"
"51","hot.deck","Hisp"," 0.0908"," 0.0001"
"52","amelia","Hisp"," 0.0907"," 0.0000"
"53","mice","Hisp"," 0.0907"," 0.0000"
"54","na.omit","Hisp"," 0.0755","-0.0152"
"55","true","Asian"," 0.0662"," 0.0000"
"56","hd.ord","Asian"," 0.0660","-0.0002"
"57","hot.deck","Asian"," 0.0661","-0.0001"
"58","amelia","Asian"," 0.0662"," 0.0000"
"59","mice","Asian"," 0.0662"," 0.0000"
"60","na.omit","Asian"," 0.0520","-0.0142"
