"","method","variable","value","diff"
"1","true","Democrat"," 0.3826"," 0.0000"
"2","hd.ord","Democrat"," 0.3831"," 0.0005"
"3","hot.deck","Democrat"," 0.3830"," 0.0004"
"4","amelia","Democrat"," 0.3825","-0.0001"
"5","mice","Democrat"," 0.3825","-0.0001"
"6","na.omit","Democrat"," 0.3483","-0.0343"
"7","true","Male"," 0.4714"," 0.0000"
"8","hd.ord","Male"," 0.4727"," 0.0013"
"9","hot.deck","Male"," 0.4727"," 0.0013"
"10","amelia","Male"," 0.4714"," 0.0000"
"11","mice","Male"," 0.4713","-0.0001"
"12","na.omit","Male"," 0.4293","-0.0421"
"13","true","Employed"," 0.5684"," 0.0000"
"14","hd.ord","Employed"," 0.5696"," 0.0012"
"15","hot.deck","Employed"," 0.5697"," 0.0013"
"16","amelia","Employed"," 0.5685"," 0.0001"
"17","mice","Employed"," 0.5683","-0.0001"
"18","na.omit","Employed"," 0.5326","-0.0358"
"19","true","Income"," 3.4923"," 0.0000"
"20","hd.ord","Income"," 3.4897","-0.0026"
"21","hot.deck","Income"," 3.4816","-0.0107"
"22","amelia","Income"," 3.4906","-0.0017"
"23","mice","Income"," 3.4907","-0.0016"
"24","na.omit","Income"," 3.2965","-0.1958"
"25","true","Age","44.9574"," 0.0000"
"26","hd.ord","Age","44.7863","-0.1711"
"27","hot.deck","Age","44.6737","-0.2837"
"28","amelia","Age","44.9614"," 0.0040"
"29","mice","Age","44.9574"," 0.0000"
"30","na.omit","Age","44.1201","-0.8373"
