"","method","variable","value","diff"
"1","true","Democrat"," 0.3826"," 0.0000"
"2","hd.ord","Democrat"," 0.3795","-0.0031"
"3","hot.deck","Democrat"," 0.3787","-0.0039"
"4","amelia","Democrat"," 0.3794","-0.0032"
"5","mice","Democrat"," 0.3798","-0.0028"
"6","na.omit","Democrat"," 0.3629","-0.0197"
"7","true","Male"," 0.4714"," 0.0000"
"8","hd.ord","Male"," 0.4587","-0.0127"
"9","hot.deck","Male"," 0.4590","-0.0124"
"10","amelia","Male"," 0.4581","-0.0133"
"11","mice","Male"," 0.4578","-0.0136"
"12","na.omit","Male"," 0.4494","-0.0220"
"13","true","Employed"," 0.5684"," 0.0000"
"14","hd.ord","Employed"," 0.5656","-0.0028"
"15","hot.deck","Employed"," 0.5650","-0.0034"
"16","amelia","Employed"," 0.5654","-0.0030"
"17","mice","Employed"," 0.5654","-0.0030"
"18","na.omit","Employed"," 0.5506","-0.0178"
"19","true","Income"," 3.4923"," 0.0000"
"20","hd.ord","Income"," 3.4443","-0.0480"
"21","hot.deck","Income"," 3.4382","-0.0541"
"22","amelia","Income"," 3.4484","-0.0439"
"23","mice","Income"," 3.4482","-0.0441"
"24","na.omit","Income"," 3.3880","-0.1043"
"25","true","Age","44.9574"," 0.0000"
"26","hd.ord","Age","44.4779","-0.4795"
"27","hot.deck","Age","44.3649","-0.5925"
"28","amelia","Age","44.6849","-0.2725"
"29","mice","Age","44.6806","-0.2768"
"30","na.omit","Age","44.4498","-0.5076"
