"","control","treatment1","treatment2","treatment3","treatment4","treatment5","treatment6","treatment7","treatment8","treatment9","sampled_numbers","repeat.","diff","label"
"1",3,2.66666666666667,3,4,3,3.66666666666667,4,3,4,3,30,100,1.33333333333333,"blocked"
"2",2,2,3.66666666666667,3.66666666666667,2.33333333333333,3.33333333333333,3.33333333333333,2,2.66666666666667,2,30,100,1.66666666666667,"blocked"
"3",3.66666666666667,3.66666666666667,3,3,3,3,3,2.66666666666667,3,3.33333333333333,30,100,1,"blocked"
"4",3,2.66666666666667,2.66666666666667,2.66666666666667,3,3,4,3.33333333333333,3,3,30,100,1.33333333333333,"blocked"
"5",2.33333333333333,3,2.33333333333333,3.66666666666667,3,3.66666666666667,2.33333333333333,2.66666666666667,3,3.33333333333333,30,100,1.33333333333333,"blocked"
"6",2.66666666666667,3,2.33333333333333,2.66666666666667,3.66666666666667,3.33333333333333,2.66666666666667,3.66666666666667,2.33333333333333,2.66666666666667,30,100,1.33333333333333,"blocked"
"7",3.33333333333333,3.33333333333333,3,2.33333333333333,3.33333333333333,3.66666666666667,3,3,3,3.33333333333333,30,100,1.33333333333333,"blocked"
"8",2.66666666666667,3,3,3.33333333333333,3,3,2.66666666666667,4,2.66666666666667,3,30,100,1.33333333333333,"blocked"
"9",3.33333333333333,3.33333333333333,3,3,2.66666666666667,3,3,3,4,3.33333333333333,30,100,1.33333333333333,"blocked"
"10",2,3.33333333333333,2.66666666666667,2.66666666666667,2.66666666666667,2.33333333333333,2.33333333333333,2.66666666666667,3.33333333333333,2,30,100,1.33333333333333,"blocked"
"11",2.33333333333333,3.33333333333333,2.66666666666667,2.66666666666667,2.33333333333333,3.66666666666667,3.33333333333333,2.66666666666667,2.66666666666667,3,30,100,1.33333333333333,"blocked"
"12",2.33333333333333,4,3,3.66666666666667,3.66666666666667,2.66666666666667,2.33333333333333,3.33333333333333,3.66666666666667,3.66666666666667,30,100,1.66666666666667,"blocked"
"13",2,2,3.33333333333333,3,3.33333333333333,3,3.66666666666667,3.66666666666667,2,2,30,100,1.66666666666667,"blocked"
"14",3.33333333333333,2.66666666666667,2.33333333333333,2.66666666666667,2.33333333333333,3.33333333333333,2.33333333333333,2.66666666666667,2.66666666666667,3.33333333333333,30,100,1,"blocked"
"15",2.66666666666667,3.33333333333333,3.66666666666667,3,3.33333333333333,3.33333333333333,3.33333333333333,2,2.66666666666667,2,30,100,1.66666666666667,"blocked"
"16",2.66666666666667,2.66666666666667,2.66666666666667,2.66666666666667,3,3.33333333333333,2.66666666666667,3,2.33333333333333,4,30,100,1.66666666666667,"blocked"
"17",2.33333333333333,3.66666666666667,3.33333333333333,2.66666666666667,2.66666666666667,2.66666666666667,2.33333333333333,3.33333333333333,2.66666666666667,2.66666666666667,30,100,1.33333333333333,"blocked"
"18",3,4,2.66666666666667,3,2.33333333333333,3.33333333333333,2.33333333333333,2.66666666666667,3.66666666666667,3,30,100,1.66666666666667,"blocked"
"19",2.66666666666667,4,3,4,3,3.66666666666667,3,2.66666666666667,4.33333333333333,2.66666666666667,30,100,1.66666666666667,"blocked"
"20",4,3.33333333333333,3,3,3,3,3,3.66666666666667,3,3.33333333333333,30,100,1,"blocked"
"21",2.66666666666667,2.66666666666667,2.66666666666667,2.66666666666667,3.33333333333333,3.33333333333333,2.66666666666667,2.66666666666667,3.33333333333333,3.66666666666667,30,100,1,"blocked"
"22",3,3.66666666666667,3.33333333333333,2.66666666666667,3.66666666666667,2.66666666666667,3.33333333333333,3.66666666666667,4,3.66666666666667,30,100,1.33333333333333,"blocked"
"23",3,4,2.33333333333333,3,2.66666666666667,3,2.66666666666667,3,3,3.33333333333333,30,100,1.66666666666667,"blocked"
"24",3,3,3,2,2,3,2.66666666666667,2.66666666666667,2.33333333333333,2,30,100,1,"blocked"
"25",4,3.33333333333333,3.33333333333333,3.33333333333333,3,2.66666666666667,3.33333333333333,3.66666666666667,3.33333333333333,3.33333333333333,30,100,1.33333333333333,"blocked"
"26",2,3,3,3,3,3,2,3.33333333333333,3.33333333333333,3,30,100,1.33333333333333,"blocked"
"27",3.33333333333333,3.33333333333333,3.33333333333333,2.33333333333333,3.66666666666667,2,2.33333333333333,2,3,3.33333333333333,30,100,1.66666666666667,"blocked"
"28",2.66666666666667,3.66666666666667,3.33333333333333,2.33333333333333,4,2.66666666666667,2.33333333333333,2.66666666666667,2.33333333333333,2.66666666666667,30,100,1.66666666666667,"blocked"
"29",2.66666666666667,3,2.66666666666667,2.33333333333333,3,3,2.66666666666667,3,2.66666666666667,3.66666666666667,30,100,1.33333333333333,"blocked"
"30",2.33333333333333,3.66666666666667,3.33333333333333,2.66666666666667,2.66666666666667,3.66666666666667,3.33333333333333,2.66666666666667,2.66666666666667,3.66666666666667,30,100,1.33333333333333,"blocked"
"31",3.33333333333333,3.33333333333333,3,3.66666666666667,3,3.33333333333333,3.33333333333333,3,2.66666666666667,3.33333333333333,30,100,1,"blocked"
"32",3.33333333333333,2.66666666666667,2.33333333333333,3,2.66666666666667,3,2.66666666666667,3,3.33333333333333,3,30,100,1,"blocked"
"33",3.33333333333333,2.66666666666667,3,2.66666666666667,2.66666666666667,4,2.66666666666667,2.66666666666667,3,3.33333333333333,30,100,1.33333333333333,"blocked"
"34",3.66666666666667,2.66666666666667,3.33333333333333,1.66666666666667,3,2,2.66666666666667,3.33333333333333,2.66666666666667,2.66666666666667,30,100,2,"blocked"
"35",2.66666666666667,2.66666666666667,2.33333333333333,3.33333333333333,3,3,2.66666666666667,3,3,3.33333333333333,30,100,1,"blocked"
