"","method","variable","value","diff"
"1","true","Dem"," 0.3549"," 0.0000"
"2","hd.ord","Dem"," 0.3552"," 0.0003"
"3","hd.norm.orig","Dem"," 0.3552"," 0.0003"
"4","amelia","Dem"," 0.3549"," 0.0000"
"5","mice","Dem"," 0.3549"," 0.0000"
"6","na.omit","Dem"," 0.3388","-0.0161"
"7","true","inc","15.5740"," 0.0000"
"8","hd.ord","inc","15.5762"," 0.0022"
"9","hd.norm.orig","inc","15.5779"," 0.0039"
"10","amelia","inc","15.5753"," 0.0013"
"11","mice","inc","15.5755"," 0.0015"
"12","na.omit","inc","15.2306","-0.3434"
"13","true","age","49.0400"," 0.0000"
"14","hd.ord","age","49.0075","-0.0325"
"15","hd.norm.orig","age","49.0157","-0.0243"
"16","amelia","age","49.0384","-0.0016"
"17","mice","age","49.0385","-0.0015"
"18","na.omit","age","48.3780","-0.6620"
"19","true","Male"," 0.4682"," 0.0000"
"20","hd.ord","Male"," 0.4684"," 0.0002"
"21","hd.norm.orig","Male"," 0.4684"," 0.0002"
"22","amelia","Male"," 0.4683"," 0.0001"
"23","mice","Male"," 0.4682"," 0.0000"
"24","na.omit","Male"," 0.4470","-0.0212"
"25","true","interest"," 2.2197"," 0.0000"
"26","hd.ord","interest"," 2.2213"," 0.0016"
"27","hd.norm.orig","interest"," 2.2213"," 0.0016"
"28","amelia","interest"," 2.2198"," 0.0001"
"29","mice","interest"," 2.2198"," 0.0001"
"30","na.omit","interest"," 2.2009","-0.0188"
