"","method","variable","value","diff"
"1","true","Dem"," 0.3420"," 0.0000"
"2","hd.ord","Dem"," 0.3371","-0.0049"
"3","hot.deck","Dem"," 0.3371","-0.0049"
"4","amelia","Dem"," 0.3377","-0.0043"
"5","mice","Dem"," 0.3380","-0.0040"
"6","na.omit","Dem"," 0.3328","-0.0092"
"7","true","Male"," 0.4890"," 0.0000"
"8","hd.ord","Male"," 0.4835","-0.0055"
"9","hot.deck","Male"," 0.4837","-0.0053"
"10","amelia","Male"," 0.4835","-0.0055"
"11","mice","Male"," 0.4835","-0.0055"
"12","na.omit","Male"," 0.4797","-0.0093"
"13","true","Interest"," 2.9340"," 0.0000"
"14","hd.ord","Interest"," 2.9227","-0.0113"
"15","hot.deck","Interest"," 2.9206","-0.0134"
"16","amelia","Interest"," 2.9272","-0.0068"
"17","mice","Interest"," 2.9272","-0.0068"
"18","na.omit","Interest"," 2.9104","-0.0236"
"19","true","Inc","16.6140"," 0.0000"
"20","hd.ord","Inc","16.5241","-0.0899"
"21","hot.deck","Inc","16.5094","-0.1046"
"22","amelia","Inc","16.5645","-0.0495"
"23","mice","Inc","16.5637","-0.0503"
"24","na.omit","Inc","16.4052","-0.2088"
"25","true","Age","50.0410"," 0.0000"
"26","hd.ord","Age","49.7839","-0.2571"
"27","hot.deck","Age","49.7329","-0.3081"
"28","amelia","Age","49.9310","-0.1100"
"29","mice","Age","49.9363","-0.1047"
"30","na.omit","Age","49.7013","-0.3397"
"31","true","Black"," 0.0790"," 0.0000"
"32","hd.ord","Black"," 0.0755","-0.0035"
"33","hot.deck","Black"," 0.0753","-0.0037"
"34","amelia","Black"," 0.0753","-0.0037"
"35","mice","Black"," 0.0756","-0.0034"
"36","na.omit","Black"," 0.0745","-0.0045"
"37","true","Empl"," 0.6610"," 0.0000"
"38","hd.ord","Empl"," 0.6576","-0.0034"
"39","hot.deck","Empl"," 0.6577","-0.0033"
"40","amelia","Empl"," 0.6579","-0.0031"
"41","mice","Empl"," 0.6579","-0.0031"
"42","na.omit","Empl"," 0.6596","-0.0014"
"43","true","Religious"," 0.6460"," 0.0000"
"44","hd.ord","Religious"," 0.6415","-0.0045"
"45","hot.deck","Religious"," 0.6417","-0.0043"
"46","amelia","Religious"," 0.6420","-0.0040"
"47","mice","Religious"," 0.6420","-0.0040"
"48","na.omit","Religious"," 0.6411","-0.0049"
"49","true","Married"," 0.5290"," 0.0000"
"50","hd.ord","Married"," 0.5249","-0.0041"
"51","hot.deck","Married"," 0.5250","-0.0040"
"52","amelia","Married"," 0.5248","-0.0042"
"53","mice","Married"," 0.5248","-0.0042"
"54","na.omit","Married"," 0.5168","-0.0122"
"55","true","OwnHome"," 0.6820"," 0.0000"
"56","hd.ord","OwnHome"," 0.6790","-0.0030"
"57","hot.deck","OwnHome"," 0.6792","-0.0028"
"58","amelia","OwnHome"," 0.6793","-0.0027"
"59","mice","OwnHome"," 0.6793","-0.0027"
"60","na.omit","OwnHome"," 0.6709","-0.0111"
"61","true","Rally"," 0.0830"," 0.0000"
"62","hd.ord","Rally"," 0.0787","-0.0043"
"63","hot.deck","Rally"," 0.0788","-0.0042"
"64","amelia","Rally"," 0.0790","-0.0040"
"65","mice","Rally"," 0.0791","-0.0039"
"66","na.omit","Rally"," 0.0753","-0.0077"
"67","true","Donate"," 0.1390"," 0.0000"
"68","hd.ord","Donate"," 0.1339","-0.0051"
"69","hot.deck","Donate"," 0.1336","-0.0054"
"70","amelia","Donate"," 0.1341","-0.0049"
"71","mice","Donate"," 0.1342","-0.0048"
"72","na.omit","Donate"," 0.1268","-0.0122"
