"","control","treatment","variance","levels","groups","sampled_numbers","repeats","diff","label"
"1",3.75,2.5,2.66666666666667,5,2,6,100,1.25,"rand"
"2",3.5,4,1.06666666666667,5,2,6,100,0.5,"rand"
"3",3,2,2.66666666666667,5,2,6,100,1,"rand"
"4",3.75,5,1.36666666666667,5,2,6,100,1.25,"rand"
"5",3,2.5,1.36666666666667,5,2,6,100,0.5,"rand"
"6",3.5,4,2.26666666666667,5,2,6,100,0.5,"rand"
"7",2.25,2.5,1.06666666666667,5,2,6,100,0.25,"rand"
"8",1.75,2.5,0.8,5,2,6,100,0.75,"rand"
"9",2.5,3,2.66666666666667,5,2,6,100,0.5,"rand"
"10",3.25,2,2.16666666666667,5,2,6,100,1.25,"rand"
"11",3.25,2,2.16666666666667,5,2,6,100,1.25,"rand"
"12",4,4.5,0.566666666666667,5,2,6,100,0.5,"rand"
"13",2.75,2.5,1.46666666666667,5,2,6,100,0.25,"rand"
"14",2.75,2.5,1.46666666666667,5,2,6,100,0.25,"rand"
"15",4,2,3.86666666666667,5,2,6,100,2,"rand"
"16",2.25,2.5,1.86666666666667,5,2,6,100,0.25,"rand"
"17",3.25,1.5,1.06666666666667,5,2,6,100,1.75,"rand"
"18",4,4.5,0.966666666666667,5,2,6,100,0.5,"rand"
"19",2.75,3,3.36666666666667,5,2,6,100,0.25,"rand"
"20",3.75,2,1.76666666666667,5,2,6,100,1.75,"rand"
"21",2.5,3.5,1.76666666666667,5,2,6,100,1,"rand"
"22",2.5,3,3.46666666666667,5,2,6,100,0.5,"rand"
"23",4,4,0.4,5,2,6,100,0,"rand"
"24",2.75,2,2.3,5,2,6,100,0.75,"rand"
"25",2.5,3,2.26666666666667,5,2,6,100,0.5,"rand"
"26",2.5,2.5,1.9,5,2,6,100,0,"rand"
"27",2.75,2,0.3,5,2,6,100,0.75,"rand"
"28",3.25,2,0.966666666666667,5,2,6,100,1.25,"rand"
"29",3.25,3,2.16666666666667,5,2,6,100,0.25,"rand"
"30",3.5,3.5,1.1,5,2,6,100,0,"rand"
"31",3.5,2.5,1.36666666666667,5,2,6,100,1,"rand"
"32",3.5,2.5,2.16666666666667,5,2,6,100,1,"rand"
"33",4,4,0.8,5,2,6,100,0,"rand"
"34",3,3,2,5,2,6,100,0,"rand"
"35",2,3,2.26666666666667,5,2,6,100,1,"rand"
"36",2.5,3,1.46666666666667,5,2,6,100,0.5,"rand"
"37",3.5,4,2.26666666666667,5,2,6,100,0.5,"rand"
"38",2.5,3.5,1.36666666666667,5,2,6,100,1,"rand"
"39",3.5,3,1.86666666666667,5,2,6,100,0.5,"rand"
"40",2.25,3.5,3.46666666666667,5,2,6,100,1.25,"rand"
"41",2.5,4,1.6,5,2,6,100,1.5,"rand"
"42",3.25,3.5,2.26666666666667,5,2,6,100,0.25,"rand"
"43",2.75,2.5,1.06666666666667,5,2,6,100,0.25,"rand"
"44",4.25,5,0.7,5,2,6,100,0.75,"rand"
"45",2,3,0.666666666666667,5,2,6,100,1,"rand"
"46",2.75,2.5,3.46666666666667,5,2,6,100,0.25,"rand"
"47",3.5,2,2.8,5,2,6,100,1.5,"rand"
"48",1.5,2,0.266666666666667,5,2,6,100,0.5,"rand"
"49",1.25,4.5,3.06666666666667,5,2,6,100,3.25,"rand"
"50",2.75,4.5,3.46666666666667,5,2,6,100,1.75,"rand"
"51",4,2,1.46666666666667,5,2,6,100,2,"rand"
"52",2.25,2,0.966666666666667,5,2,6,100,0.25,"rand"
"53",4,1.5,2.96666666666667,5,2,6,100,2.5,"rand"
"54",2.5,4.5,2.96666666666667,5,2,6,100,2,"rand"
"55",2.25,3,3.9,5,2,6,100,0.75,"rand"
"56",3.75,2.5,1.46666666666667,5,2,6,100,1.25,"rand"
"57",4,2.5,1.9,5,2,6,100,1.5,"rand"
"58",3.25,2,1.36666666666667,5,2,6,100,1.25,"rand"
"59",2.75,2.5,2.66666666666667,5,2,6,100,0.25,"rand"
"60",3.25,5,1.36666666666667,5,2,6,100,1.75,"rand"
"61",2.5,2.5,2.7,5,2,6,100,0,"rand"
"62",2.5,1.5,0.966666666666667,5,2,6,100,1,"rand"
"63",4.25,2.5,1.46666666666667,5,2,6,100,1.75,"rand"
"64",2.75,4.5,1.46666666666667,5,2,6,100,1.75,"rand"
"65",1.75,3.5,2.26666666666667,5,2,6,100,1.75,"rand"
