"","method","variable","value","diff"
"1","true","Dem"," 0.4032"," 0.0000"
"2","hd.ord","Dem"," 0.4038"," 0.0006"
"3","hot.deck","Dem"," 0.4038"," 0.0006"
"4","amelia","Dem"," 0.4035"," 0.0003"
"5","mice","Dem"," 0.4035"," 0.0003"
"6","na.omit","Dem"," 0.3782","-0.0250"
"7","true","Male"," 0.4521"," 0.0000"
"8","hd.ord","Male"," 0.4520","-0.0001"
"9","hot.deck","Male"," 0.4519","-0.0002"
"10","amelia","Male"," 0.4522"," 0.0001"
"11","mice","Male"," 0.4522"," 0.0001"
"12","na.omit","Male"," 0.4085","-0.0436"
"13","true","Interest"," 3.3301"," 0.0000"
"14","hd.ord","Interest"," 3.3268","-0.0033"
"15","hot.deck","Interest"," 3.3255","-0.0046"
"16","amelia","Interest"," 3.3302"," 0.0001"
"17","mice","Interest"," 3.3301"," 0.0000"
"18","na.omit","Interest"," 3.2538","-0.0763"
"19","true","Inc"," 6.5830"," 0.0000"
"20","hd.ord","Inc"," 6.5821","-0.0009"
"21","hot.deck","Inc"," 6.5757","-0.0073"
"22","amelia","Inc"," 6.5809","-0.0021"
"23","mice","Inc"," 6.5808","-0.0022"
"24","na.omit","Inc"," 6.3238","-0.2592"
"25","true","Age","52.8639"," 0.0000"
"26","hd.ord","Age","52.8418","-0.0221"
"27","hot.deck","Age","52.7849","-0.0790"
"28","amelia","Age","52.8633","-0.0006"
"29","mice","Age","52.8507","-0.0132"
"30","na.omit","Age","51.6449","-1.2190"
