"","method","variable","value","diff"
"1","true","Dem"," 0.4320"," 0.0000"
"2","hd.ord","Dem"," 0.4326"," 0.0006"
"3","hd.norm.orig","Dem"," 0.4325"," 0.0005"
"4","amelia","Dem"," 0.4320"," 0.0000"
"5","mice","Dem"," 0.4319","-0.0001"
"6","na.omit","Dem"," 0.4058","-0.0262"
"7","true","inc"," 6.3840"," 0.0000"
"8","hd.ord","inc"," 6.3817","-0.0023"
"9","hd.norm.orig","inc"," 6.3648","-0.0192"
"10","amelia","inc"," 6.3814","-0.0026"
"11","mice","inc"," 6.3815","-0.0025"
"12","na.omit","inc"," 6.1121","-0.2719"
"13","true","age","49.4010"," 0.0000"
"14","hd.ord","age","49.3381","-0.0629"
"15","hd.norm.orig","age","49.1632","-0.2378"
"16","amelia","age","49.3944","-0.0066"
"17","mice","age","49.3966","-0.0044"
"18","na.omit","age","48.0348","-1.3662"
"19","true","Male"," 0.4630"," 0.0000"
"20","hd.ord","Male"," 0.4634"," 0.0004"
"21","hd.norm.orig","Male"," 0.4630"," 0.0000"
"22","amelia","Male"," 0.4625","-0.0005"
"23","mice","Male"," 0.4625","-0.0005"
"24","na.omit","Male"," 0.4225","-0.0405"
"25","true","interest"," 3.1920"," 0.0000"
"26","hd.ord","interest"," 3.1873","-0.0047"
"27","hd.norm.orig","interest"," 3.1823","-0.0097"
"28","amelia","interest"," 3.1921"," 0.0001"
"29","mice","interest"," 3.1922"," 0.0002"
"30","na.omit","interest"," 3.1050","-0.0870"
