"","method","variable","value","diff"
"1","true","Dem"," 0.3770"," 0.0000"
"2","hd.ord","Dem"," 0.3766","-0.0004"
"3","hot.deck","Dem"," 0.3765","-0.0005"
"4","amelia","Dem"," 0.3769","-0.0001"
"5","mice","Dem"," 0.3770"," 0.0000"
"6","na.omit","Dem"," 0.3557","-0.0213"
"7","true","Male"," 0.4830"," 0.0000"
"8","hd.ord","Male"," 0.4825","-0.0005"
"9","hot.deck","Male"," 0.4826","-0.0004"
"10","amelia","Male"," 0.4829","-0.0001"
"11","mice","Male"," 0.4829","-0.0001"
"12","na.omit","Male"," 0.4480","-0.0350"
"13","true","Inc"," 6.4810"," 0.0000"
"14","hd.ord","Inc"," 6.4696","-0.0114"
"15","hot.deck","Inc"," 6.4569","-0.0241"
"16","amelia","Inc"," 6.4803","-0.0007"
"17","mice","Inc"," 6.4805","-0.0005"
"18","na.omit","Inc"," 6.1922","-0.2888"
"19","true","Age","52.8230"," 0.0000"
"20","hd.ord","Age","52.7526","-0.0704"
"21","hot.deck","Age","52.6698","-0.1532"
"22","amelia","Age","52.8209","-0.0021"
"23","mice","Age","52.8175","-0.0055"
"24","na.omit","Age","52.3900","-0.4330"
"25","true","Black"," 0.0950"," 0.0000"
"26","hd.ord","Black"," 0.0949","-0.0001"
"27","hot.deck","Black"," 0.0949","-0.0001"
"28","amelia","Black"," 0.0951"," 0.0001"
"29","mice","Black"," 0.0951"," 0.0001"
"30","na.omit","Black"," 0.0828","-0.0122"
"31","true","Empl"," 0.4370"," 0.0000"
"32","hd.ord","Empl"," 0.4373"," 0.0003"
"33","hot.deck","Empl"," 0.4371"," 0.0001"
"34","amelia","Empl"," 0.4370"," 0.0000"
"35","mice","Empl"," 0.4369","-0.0001"
"36","na.omit","Empl"," 0.4042","-0.0328"
"37","true","Religious"," 0.6420"," 0.0000"
"38","hd.ord","Religious"," 0.6418","-0.0002"
"39","hot.deck","Religious"," 0.6417","-0.0003"
"40","amelia","Religious"," 0.6419","-0.0001"
"41","mice","Religious"," 0.6418","-0.0002"
"42","na.omit","Religious"," 0.6179","-0.0241"
"43","true","Married"," 0.6310"," 0.0000"
"44","hd.ord","Married"," 0.6308","-0.0002"
"45","hot.deck","Married"," 0.6311"," 0.0001"
"46","amelia","Married"," 0.6308","-0.0002"
"47","mice","Married"," 0.6308","-0.0002"
"48","na.omit","Married"," 0.5986","-0.0324"
"49","true","OwnHome"," 0.7010"," 0.0000"
"50","hd.ord","OwnHome"," 0.7009","-0.0001"
"51","hot.deck","OwnHome"," 0.7012"," 0.0002"
"52","amelia","OwnHome"," 0.7011"," 0.0001"
"53","mice","OwnHome"," 0.7010"," 0.0000"
"54","na.omit","OwnHome"," 0.6715","-0.0295"
"55","true","Gay"," 0.0420"," 0.0000"
"56","hd.ord","Gay"," 0.0421"," 0.0001"
"57","hot.deck","Gay"," 0.0420"," 0.0000"
"58","amelia","Gay"," 0.0420"," 0.0000"
"59","mice","Gay"," 0.0421"," 0.0001"
"60","na.omit","Gay"," 0.0307","-0.0113"
"61","true","StudLoans"," 0.1910"," 0.0000"
"62","hd.ord","StudLoans"," 0.1911"," 0.0001"
"63","hot.deck","StudLoans"," 0.1911"," 0.0001"
"64","amelia","StudLoans"," 0.1909","-0.0001"
"65","mice","StudLoans"," 0.1909","-0.0001"
"66","na.omit","StudLoans"," 0.1764","-0.0146"
