"","method","variable","value","diff"
"1","true","Dem"," 0.3770"," 0.0000"
"2","hd.ord","Dem"," 0.3764","-0.0006"
"3","hot.deck","Dem"," 0.3758","-0.0012"
"4","amelia","Dem"," 0.3770"," 0.0000"
"5","mice","Dem"," 0.3772"," 0.0002"
"6","na.omit","Dem"," 0.3254","-0.0516"
"7","true","Male"," 0.4830"," 0.0000"
"8","hd.ord","Male"," 0.4810","-0.0020"
"9","hot.deck","Male"," 0.4794","-0.0036"
"10","amelia","Male"," 0.4829","-0.0001"
"11","mice","Male"," 0.4830"," 0.0000"
"12","na.omit","Male"," 0.3798","-0.1032"
"13","true","Interest"," 3.3290"," 0.0000"
"14","hd.ord","Interest"," 3.2954","-0.0336"
"15","hot.deck","Interest"," 3.2752","-0.0538"
"16","amelia","Interest"," 3.3291"," 0.0001"
"17","mice","Interest"," 3.3287","-0.0003"
"18","na.omit","Interest"," 3.1276","-0.2014"
"19","true","Inc"," 6.4810"," 0.0000"
"20","hd.ord","Inc"," 6.4001","-0.0809"
"21","hot.deck","Inc"," 6.3570","-0.1240"
"22","amelia","Inc"," 6.4820"," 0.0010"
"23","mice","Inc"," 6.4829"," 0.0019"
"24","na.omit","Inc"," 5.8852","-0.5958"
"25","true","Age","52.8230"," 0.0000"
"26","hd.ord","Age","52.0545","-0.7685"
"27","hot.deck","Age","51.6657","-1.1573"
"28","amelia","Age","52.8155","-0.0075"
"29","mice","Age","52.8093","-0.0137"
"30","na.omit","Age","49.6788","-3.1442"
