"","method","variable","value","diff"
"1","true","Dem"," 0.3770"," 0.0000"
"2","hd.ord","Dem"," 0.3671","-0.0099"
"3","hot.deck","Dem"," 0.3665","-0.0105"
"4","amelia","Dem"," 0.3668","-0.0102"
"5","mice","Dem"," 0.3669","-0.0101"
"6","na.omit","Dem"," 0.3630","-0.0140"
"7","true","Male"," 0.4830"," 0.0000"
"8","hd.ord","Male"," 0.4714","-0.0116"
"9","hot.deck","Male"," 0.4706","-0.0124"
"10","amelia","Male"," 0.4709","-0.0121"
"11","mice","Male"," 0.4710","-0.0120"
"12","na.omit","Male"," 0.4611","-0.0219"
"13","true","Interest"," 3.3290"," 0.0000"
"14","hd.ord","Interest"," 3.3044","-0.0246"
"15","hot.deck","Interest"," 3.2994","-0.0296"
"16","amelia","Interest"," 3.3144","-0.0146"
"17","mice","Interest"," 3.3144","-0.0146"
"18","na.omit","Interest"," 3.2918","-0.0372"
"19","true","Inc"," 6.4810"," 0.0000"
"20","hd.ord","Inc"," 6.3882","-0.0928"
"21","hot.deck","Inc"," 6.3772","-0.1038"
"22","amelia","Inc"," 6.4232","-0.0578"
"23","mice","Inc"," 6.4244","-0.0566"
"24","na.omit","Inc"," 6.3476","-0.1334"
"25","true","Age","52.8230"," 0.0000"
"26","hd.ord","Age","52.3634","-0.4596"
"27","hot.deck","Age","52.2301","-0.5929"
"28","amelia","Age","52.5964","-0.2266"
"29","mice","Age","52.6070","-0.2160"
"30","na.omit","Age","52.1838","-0.6392"
