"","method","variable","value","diff"
"1","true","Dem"," 0.4666"," 0.0000"
"2","hd.ord","Dem"," 0.4675"," 0.0009"
"3","hd.norm.orig","Dem"," 0.4686"," 0.0020"
"4","amelia","Dem"," 0.4667"," 0.0001"
"5","mice","Dem"," 0.4669"," 0.0003"
"6","na.omit","Dem"," 0.3438","-0.1228"
"7","true","inc"," 3.0927"," 0.0000"
"8","hd.ord","inc"," 3.0531","-0.0396"
"9","hd.norm.orig","inc"," 3.0319","-0.0608"
"10","amelia","inc"," 3.0933"," 0.0006"
"11","mice","inc"," 3.0956"," 0.0029"
"12","na.omit","inc"," 2.6674","-0.4253"
"13","true","age","37.9252"," 0.0000"
"14","hd.ord","age","36.6639","-1.2613"
"15","hd.norm.orig","age","36.5279","-1.3973"
"16","amelia","age","37.9278"," 0.0026"
"17","mice","age","37.9345"," 0.0093"
"18","na.omit","age","33.5601","-4.3651"
"19","true","White"," 0.7717"," 0.0000"
"20","hd.ord","White"," 0.7815"," 0.0098"
"21","hd.norm.orig","White"," 0.7821"," 0.0104"
"22","amelia","White"," 0.7716","-0.0001"
"23","mice","White"," 0.7709","-0.0008"
"24","na.omit","White"," 0.6321","-0.1396"
"25","true","Female"," 0.4666"," 0.0000"
"26","hd.ord","Female"," 0.4641","-0.0025"
"27","hd.norm.orig","Female"," 0.4624","-0.0042"
"28","amelia","Female"," 0.4666"," 0.0000"
"29","mice","Female"," 0.4669"," 0.0003"
"30","na.omit","Female"," 0.3231","-0.1435"
"31","true","interest"," 3.2164"," 0.0000"
"32","hd.ord","interest"," 3.1462","-0.0702"
"33","hd.norm.orig","interest"," 3.1353","-0.0811"
"34","amelia","interest"," 3.2162","-0.0002"
"35","mice","interest"," 3.2158","-0.0006"
"36","na.omit","interest"," 2.8969","-0.3195"
