"age","race","gender","emply","inc","pid","pid.follow","ideol","ideol.follow","educ","mor.suffer","mor.care","mor.cruel","mor.comp","mor.anim","mor.kill","si.white","si.care","si.kids","si.kill","si.good","si.help","hc.group","hc.likert","hc.slider","hc.check","ev.group","ev.likert","ev.slider","ev.check","Income","Democrat","Male","Moral conviction","Self-interest","Employed","Unemployed","Retired","Student","Homemaker","Up to 1st grade","1st-4th grade","5th-6th grade","7th-8th grade","9th grade","10th grade","11th grade","12th grade","High school graduate","Some college","Associate degree","Bachelor","Master","Professional degree","Doctor"
37,"Asian","Female","Homemaker","$60 000 to $79 999","Republican","Not very strong","Conservative","Somewhat conservative","Some college",5,5,4,6,4,6,4,4,2,2,4,4,"si.opp",4,6.4,3,"control",4,7.4,5,4,0,0,5,3.33333333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35,"Hispanic or Latino","Male","Employed full time","$150 000 or more","Republican","Not very strong","Conservative","Somewhat conservative","Professional degree",4,5,3,4,6,1,6,5,6,6,5,6,"si.supp",3,4.4,3,"m.opp",3,4.5,5,7,0,1,3.83333333333333,5.66666666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40,"White","Male","Unemployed","Less than $20 000","Independent","Neither","Conservative","Very conservative","Some college",6,4,3,1,4,5,4,5,5,6,3,6,"m.supp",1,1.5,3,"m.opp",3,5.1,5,1,0,1,3.83333333333333,4.83333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25,"White","Male","Employed full time","$40 000 to $59 999","Democrat","Not very strong","Liberal","Somewhat liberal","Bachelor",4,4,4,4,5,4,4,4,2,3,4,6,"m.supp",4,8.4,3,"control",3,6.7,5,3,1,1,4.16666666666667,3.83333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64,"Asian","Female","Employed full time","$60 000 to $79 999","Democrat","Not very strong","Liberal","Somewhat liberal","Associate degree",4,4,5,4,2,5,1,5,2,3,4,4,"m.supp",3,5.5,3,"si.opp",4,8.2,5,4,1,0,4,3.16666666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
39,"White","Male","Employed part time","$80 000 to $99 999","Democrat","Strong","Liberal","Very liberal","High school graduate",3,3,1,4,3,4,2,3,3,4,2,1,"m.supp",3,7.6,5,"m.supp",1,7.4,5,5,1,1,3,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
69,"White","Female","Retired","$40 000 to $59 999","Independent","Closer to the Democratic Party","Liberal","Very liberal","Associate degree",6,4,6,6,6,5,1,4,2,5,2,1,"m.supp",5,10,3,"m.opp",5,10,5,3,0,0,5.5,2.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27,"White","Female","Employed part time","$80 000 to $99 999","Democrat","Strong","Neither","Neither","Master",4,4,5,6,5,2,1,3,2,6,3,2,"m.opp",3,3.2,4,"si.opp",4,2.3,4,5,1,0,4.33333333333333,2.83333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
61,"Asian","Female","Employed full time","$80 000 to $99 999","Independent","Closer to the Republican Party","Liberal","Very liberal","Some college",4,3,3,4,2,3,4,4,4,4,4,3,"si.opp",4,7,3,"si.supp",5,7.4,5,5,0,0,3.16666666666667,3.83333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
62,"White","Female","Employed full time","$150 000 or more","Democrat","Not very strong","Liberal","Somewhat liberal","Master",3,5,4,5,6,6,5,5,3,4,1,3,"si.supp",5,9.1,3,"si.supp",5,9.6,5,7,1,0,4.83333333333333,3.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36,"White","Male","Employed full time","$80 000 to $99 999","Democrat","Strong","Conservative","Very conservative","Master",1,1,1,1,1,1,1,2,2,2,2,2,"m.supp",2,4.7,1,"control",1,4.1,1,5,1,1,1,1.83333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
69,"White","Female","Employed full time","$20 000 to $39 999","Republican","Not very strong","Conservative","Somewhat conservative","Some college",5,3,5,5,6,6,1,2,2,3,1,3,"si.supp",4,9,3,"m.opp",2,5.6,5,2,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
71,"White","Female","Retired","$100 000 to $149 999","Republican","Strong","Neither","Closer to conservatives","Master",5,4,4,5,5,5,2,5,2,4,4,1,"control",1,1.4,3,"si.supp",1,1.9,4,6,0,0,4.66666666666667,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
70,"White","Female","Retired","$60 000 to $79 999","Republican","Not very strong","Conservative","Somewhat conservative","Bachelor",6,6,6,6,6,6,2,2,2,6,2,2,"m.supp",3,6.4,3,"si.opp",3,6.4,4,4,0,0,6,2.66666666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
