"","method","variable","value","diff"
"1","true","Democrat"," 0.3826"," 0.0000"
"2","hd.ord","Democrat"," 0.3810","-0.0016"
"3","hot.deck","Democrat"," 0.3807","-0.0019"
"4","amelia","Democrat"," 0.3811","-0.0015"
"5","mice","Democrat"," 0.3812","-0.0014"
"6","na.omit","Democrat"," 0.3732","-0.0094"
"7","true","Male"," 0.4714"," 0.0000"
"8","hd.ord","Male"," 0.4651","-0.0063"
"9","hot.deck","Male"," 0.4652","-0.0062"
"10","amelia","Male"," 0.4649","-0.0065"
"11","mice","Male"," 0.4648","-0.0066"
"12","na.omit","Male"," 0.4615","-0.0099"
"13","true","Employed"," 0.5684"," 0.0000"
"14","hd.ord","Employed"," 0.5669","-0.0015"
"15","hot.deck","Employed"," 0.5667","-0.0017"
"16","amelia","Employed"," 0.5669","-0.0015"
"17","mice","Employed"," 0.5669","-0.0015"
"18","na.omit","Employed"," 0.5607","-0.0077"
"19","true","Income"," 3.4923"," 0.0000"
"20","hd.ord","Income"," 3.4686","-0.0237"
"21","hot.deck","Income"," 3.4656","-0.0267"
"22","amelia","Income"," 3.4711","-0.0212"
"23","mice","Income"," 3.4709","-0.0214"
"24","na.omit","Income"," 3.4433","-0.0490"
"25","true","Age","44.9574"," 0.0000"
"26","hd.ord","Age","44.7186","-0.2388"
"27","hot.deck","Age","44.6663","-0.2911"
"28","amelia","Age","44.8267","-0.1307"
"29","mice","Age","44.8233","-0.1341"
"30","na.omit","Age","44.9381","-0.0193"
"31","true","Student"," 0.0481"," 0.0000"
"32","hd.ord","Student"," 0.0457","-0.0024"
"33","hot.deck","Student"," 0.0456","-0.0025"
"34","amelia","Student"," 0.0457","-0.0024"
"35","mice","Student"," 0.0463","-0.0018"
"36","na.omit","Student"," 0.0449","-0.0032"
"37","true","Conservative"," 0.3744"," 0.0000"
"38","hd.ord","Conservative"," 0.3706","-0.0038"
"39","hot.deck","Conservative"," 0.3703","-0.0041"
"40","amelia","Conservative"," 0.3699","-0.0045"
"41","mice","Conservative"," 0.3701","-0.0043"
"42","na.omit","Conservative"," 0.3679","-0.0065"
"43","true","Black"," 0.1242"," 0.0000"
"44","hd.ord","Black"," 0.1212","-0.0030"
"45","hot.deck","Black"," 0.1212","-0.0030"
"46","amelia","Black"," 0.1221","-0.0021"
"47","mice","Black"," 0.1222","-0.0020"
"48","na.omit","Black"," 0.1192","-0.0050"
"49","true","Hisp"," 0.0907"," 0.0000"
"50","hd.ord","Hisp"," 0.0879","-0.0028"
"51","hot.deck","Hisp"," 0.0871","-0.0036"
"52","amelia","Hisp"," 0.0885","-0.0022"
"53","mice","Hisp"," 0.0886","-0.0021"
"54","na.omit","Hisp"," 0.0850","-0.0057"
"55","true","Asian"," 0.0662"," 0.0000"
"56","hd.ord","Asian"," 0.0631","-0.0031"
"57","hot.deck","Asian"," 0.0630","-0.0032"
"58","amelia","Asian"," 0.0642","-0.0020"
"59","mice","Asian"," 0.0645","-0.0017"
"60","na.omit","Asian"," 0.0616","-0.0046"
