"","method","variable","value","diff"
"1","true","Dem"," 0.4660"," 0.0000"
"2","hd.ord","Dem"," 0.4665"," 0.0005"
"3","hot.deck","Dem"," 0.4672"," 0.0012"
"4","amelia","Dem"," 0.4661"," 0.0001"
"5","mice","Dem"," 0.4660"," 0.0000"
"6","na.omit","Dem"," 0.4303","-0.0357"
"7","true","Male"," 0.5260"," 0.0000"
"8","hd.ord","Male"," 0.5275"," 0.0015"
"9","hot.deck","Male"," 0.5271"," 0.0011"
"10","amelia","Male"," 0.5262"," 0.0002"
"11","mice","Male"," 0.5261"," 0.0001"
"12","na.omit","Male"," 0.4963","-0.0297"
"13","true","Inc"," 3.0890"," 0.0000"
"14","hd.ord","Inc"," 3.0797","-0.0093"
"15","hot.deck","Inc"," 3.0665","-0.0225"
"16","amelia","Inc"," 3.0899"," 0.0009"
"17","mice","Inc"," 3.0910"," 0.0020"
"18","na.omit","Inc"," 2.9490","-0.1400"
"19","true","Age","37.9120"," 0.0000"
"20","hd.ord","Age","37.5574","-0.3546"
"21","hot.deck","Age","37.4537","-0.4583"
"22","amelia","Age","37.9118","-0.0002"
"23","mice","Age","37.9098","-0.0022"
"24","na.omit","Age","36.9432","-0.9688"
