"","method","variable","value","diff"
"1","true","Dem"," 0.4660"," 0.0000"
"2","hd.ord","Dem"," 0.4661"," 0.0001"
"3","hot.deck","Dem"," 0.4678"," 0.0018"
"4","amelia","Dem"," 0.4657","-0.0003"
"5","mice","Dem"," 0.4658","-0.0002"
"6","na.omit","Dem"," 0.3819","-0.0841"
"7","true","Male"," 0.5260"," 0.0000"
"8","hd.ord","Male"," 0.5260"," 0.0000"
"9","hot.deck","Male"," 0.5269"," 0.0009"
"10","amelia","Male"," 0.5259","-0.0001"
"11","mice","Male"," 0.5257","-0.0003"
"12","na.omit","Male"," 0.4628","-0.0632"
"13","true","Interest"," 3.2170"," 0.0000"
"14","hd.ord","Interest"," 3.1566","-0.0604"
"15","hot.deck","Interest"," 3.1491","-0.0679"
"16","amelia","Interest"," 3.2167","-0.0003"
"17","mice","Interest"," 3.2166","-0.0004"
"18","na.omit","Interest"," 3.0337","-0.1833"
"19","true","Inc"," 3.0890"," 0.0000"
"20","hd.ord","Inc"," 3.0519","-0.0371"
"21","hot.deck","Inc"," 3.0340","-0.0550"
"22","amelia","Inc"," 3.0891"," 0.0001"
"23","mice","Inc"," 3.0918"," 0.0028"
"24","na.omit","Inc"," 2.7814","-0.3076"
"25","true","Age","37.9120"," 0.0000"
"26","hd.ord","Age","36.8714","-1.0406"
"27","hot.deck","Age","36.7801","-1.1319"
"28","amelia","Age","37.9163"," 0.0043"
"29","mice","Age","37.9167"," 0.0047"
"30","na.omit","Age","35.6069","-2.3051"
