"","method","variable","value","diff"
"1","true","Dem"," 0.4660"," 0.0000"
"2","hd.ord","Dem"," 0.4638","-0.0022"
"3","hot.deck","Dem"," 0.4636","-0.0024"
"4","amelia","Dem"," 0.4636","-0.0024"
"5","mice","Dem"," 0.4641","-0.0019"
"6","na.omit","Dem"," 0.4551","-0.0109"
"7","true","Male"," 0.5260"," 0.0000"
"8","hd.ord","Male"," 0.5199","-0.0061"
"9","hot.deck","Male"," 0.5203","-0.0057"
"10","amelia","Male"," 0.5201","-0.0059"
"11","mice","Male"," 0.5200","-0.0060"
"12","na.omit","Male"," 0.5192","-0.0068"
"13","true","Inc"," 3.0890"," 0.0000"
"14","hd.ord","Inc"," 3.0632","-0.0258"
"15","hot.deck","Inc"," 3.0599","-0.0291"
"16","amelia","Inc"," 3.0684","-0.0206"
"17","mice","Inc"," 3.0691","-0.0199"
"18","na.omit","Inc"," 3.0548","-0.0342"
"19","true","Age","37.9120"," 0.0000"
"20","hd.ord","Age","37.6301","-0.2819"
"21","hot.deck","Age","37.5849","-0.3271"
"22","amelia","Age","37.7863","-0.1257"
"23","mice","Age","37.7876","-0.1244"
"24","na.omit","Age","37.7046","-0.2074"
"25","true","Black"," 0.0690"," 0.0000"
"26","hd.ord","Black"," 0.0666","-0.0024"
"27","hot.deck","Black"," 0.0659","-0.0031"
"28","amelia","Black"," 0.0678","-0.0012"
"29","mice","Black"," 0.0679","-0.0011"
"30","na.omit","Black"," 0.0636","-0.0054"
"31","true","Empl"," 0.7430"," 0.0000"
"32","hd.ord","Empl"," 0.7403","-0.0027"
"33","hot.deck","Empl"," 0.7406","-0.0024"
"34","amelia","Empl"," 0.7405","-0.0025"
"35","mice","Empl"," 0.7404","-0.0026"
"36","na.omit","Empl"," 0.7397","-0.0033"
"37","true","Hisp"," 0.0550"," 0.0000"
"38","hd.ord","Hisp"," 0.0523","-0.0027"
"39","hot.deck","Hisp"," 0.0522","-0.0028"
"40","amelia","Hisp"," 0.0538","-0.0012"
"41","mice","Hisp"," 0.0538","-0.0012"
"42","na.omit","Hisp"," 0.0513","-0.0037"
"43","true","Official"," 0.3560"," 0.0000"
"44","hd.ord","Official"," 0.3493","-0.0067"
"45","hot.deck","Official"," 0.3499","-0.0061"
"46","amelia","Official"," 0.3505","-0.0055"
"47","mice","Official"," 0.3506","-0.0054"
"48","na.omit","Official"," 0.3421","-0.0139"
"49","true","Stud"," 0.0440"," 0.0000"
"50","hd.ord","Stud"," 0.0414","-0.0026"
"51","hot.deck","Stud"," 0.0415","-0.0025"
"52","amelia","Stud"," 0.0415","-0.0025"
"53","mice","Stud"," 0.0419","-0.0021"
"54","na.omit","Stud"," 0.0419","-0.0021"
"55","true","Media"," 1.7240"," 0.0000"
"56","hd.ord","Media"," 1.7084","-0.0156"
"57","hot.deck","Media"," 1.7076","-0.0164"
"58","amelia","Media"," 1.7130","-0.0110"
"59","mice","Media"," 1.7130","-0.0110"
"60","na.omit","Media"," 1.6895","-0.0345"
"61","true","Participation"," 0.9540"," 0.0000"
"62","hd.ord","Participation"," 0.9402","-0.0138"
"63","hot.deck","Participation"," 0.9410","-0.0130"
"64","amelia","Participation"," 0.9429","-0.0111"
"65","mice","Participation"," 0.9435","-0.0105"
"66","na.omit","Participation"," 0.9192","-0.0348"
