"","method","variable","value","diff"
"1","true","Dem"," 0.4660"," 0.0000"
"2","hd.ord","Dem"," 0.4622","-0.0038"
"3","hot.deck","Dem"," 0.4627","-0.0033"
"4","amelia","Dem"," 0.4614","-0.0046"
"5","mice","Dem"," 0.4624","-0.0036"
"6","na.omit","Dem"," 0.4475","-0.0185"
"7","true","Male"," 0.5260"," 0.0000"
"8","hd.ord","Male"," 0.5133","-0.0127"
"9","hot.deck","Male"," 0.5135","-0.0125"
"10","amelia","Male"," 0.5127","-0.0133"
"11","mice","Male"," 0.5125","-0.0135"
"12","na.omit","Male"," 0.5127","-0.0133"
"13","true","Interest"," 3.2170"," 0.0000"
"14","hd.ord","Interest"," 3.1837","-0.0333"
"15","hot.deck","Interest"," 3.1801","-0.0369"
"16","amelia","Interest"," 3.2037","-0.0133"
"17","mice","Interest"," 3.2035","-0.0135"
"18","na.omit","Interest"," 3.1791","-0.0379"
"19","true","Inc"," 3.0890"," 0.0000"
"20","hd.ord","Inc"," 3.0299","-0.0591"
"21","hot.deck","Inc"," 3.0242","-0.0648"
"22","amelia","Inc"," 3.0427","-0.0463"
"23","mice","Inc"," 3.0445","-0.0445"
"24","na.omit","Inc"," 3.0150","-0.0740"
"25","true","Age","37.9120"," 0.0000"
"26","hd.ord","Age","37.1973","-0.7147"
"27","hot.deck","Age","37.1643","-0.7477"
"28","amelia","Age","37.6245","-0.2875"
"29","mice","Age","37.6232","-0.2888"
"30","na.omit","Age","37.3267","-0.5853"
